测试目录,处理文件数,总操作数,总数据量(MB),总耗时(秒),平均带宽(MB/s),平均IOPS,平均延迟(ms)
/mnt/beegfs/test_dir_4KB_10428,32KB,1709.61,6.10,6.68,10428,10428,40.73,0.58
/mnt/beegfs/test_dir_8KB_10428,32KB,1499.58,6.95,11.72,10428,10428,81.47,0.67
/mnt/beegfs/test_dir_16KB_10428,32KB,1489.21,7.00,23.27,10428,10428,162.94,0.67
/mnt/beegfs/test_dir_512B_10428,32KB,1752.09,5.95,0.86,10428,10428,5.09,0.57
/mnt/beegfs/test_dir_1KB_10428,32KB,1607.42,6.49,1.57,10429,10428,10.18,0.62
/mnt/beegfs/test_dir_2KB_10428,32KB,1696.56,6.15,3.31,10428,10428,20.37,0.59
/mnt/beegfs/test_dir_4KB_10428,32KB,810.05,12.87,3.16,10428,10428,40.73,1.23
/mnt/beegfs/test_dir_8KB_10428,32KB,1553.35,6.71,12.14,10428,10428,81.47,0.64
/mnt/beegfs/test_dir_16KB_10428,32KB,831.41,12.54,12.99,10428,10428,162.94,1.20
/mnt/beegfs/test_dir_512B_10428,32KB,1049.37,9.94,0.51,10428,10428,5.09,0.95
/mnt/beegfs/test_dir_1KB_10428,32KB,1647.87,6.33,1.61,10429,10428,10.18,0.61
/mnt/beegfs/test_dir_2KB_10428,32KB,1666.90,6.26,3.26,10428,10428,20.37,0.60
/mnt/beegfs/test_dir_4KB_10428,32KB,1616.07,6.45,6.31,10428,10428,40.73,0.62
/mnt/beegfs/test_dir_8KB_10428,32KB,1483.52,7.03,11.59,10428,10428,81.47,0.67
/mnt/beegfs/test_dir_16KB_10428,32KB,1540.21,6.77,24.07,10428,10428,162.94,0.65
/mnt/beegfs/test_dir_512B_10428,32KB,1701.19,6.13,0.83,10428,10428,5.09,0.59
/mnt/beegfs/test_dir_1KB_10428,32KB,1763.11,5.91,1.72,10429,10428,10.18,0.57
/mnt/beegfs/test_dir_2KB_10428,32KB,1674.77,6.23,3.27,10428,10428,20.37,0.60
/mnt/beegfs/test_dir_4KB_10428,32KB,1667.11,6.26,6.51,10428,10428,40.73,0.60
/mnt/beegfs/test_dir_8KB_10428,32KB,1498.75,6.96,11.71,10428,10428,81.47,0.67
/mnt/beegfs/test_dir_16KB_10428,32KB,1528.15,6.82,23.88,10428,10428,162.94,0.65
/mnt/beegfs/test_dir_512B_10428,32KB,1672.46,6.24,0.82,10428,10428,5.09,0.60
/mnt/beegfs/test_dir_1KB_10428,32KB,1659.64,6.28,1.62,10429,10428,10.18,0.60
/mnt/beegfs/test_dir_2KB_10428,32KB,1234.14,8.45,2.41,10428,10428,20.37,0.81
/mnt/beegfs/test_dir_4KB_10428,32KB,1600.94,6.51,6.25,10428,10428,40.73,0.62
/mnt/beegfs/test_dir_8KB_10428,32KB,1475.81,7.07,11.53,10428,10428,81.47,0.68
/mnt/beegfs/test_dir_16KB_10428,32KB,1607.72,6.49,25.12,10428,10428,162.94,0.62
/mnt/beegfs/test_dir_512B_10428,32KB,1639.57,6.36,0.80,10428,10428,5.09,0.61
/mnt/beegfs/test_dir_1KB_10428,32KB,1617.01,6.45,1.58,10429,10428,10.18,0.62
/mnt/beegfs/test_dir_2KB_10428,32KB,1711.97,6.09,3.34,10428,10428,20.37,0.58
/mnt/beegfs/test_dir_4KB_10428,32KB,1760.43,5.92,6.88,10428,10428,40.73,0.57
/mnt/beegfs/test_dir_8KB_10428,32KB,1032.16,10.10,8.06,10428,10428,81.47,0.97
/mnt/beegfs/test_dir_16KB_10428,32KB,1501.19,6.95,23.46,10428,10428,162.94,0.67
/mnt/beegfs/test_dir_512B_10428,32KB,1626.29,6.41,0.79,10428,10428,5.09,0.61
/mnt/beegfs/test_dir_1KB_10428,32KB,1624.99,6.42,1.59,10429,10428,10.18,0.62
/mnt/beegfs/test_dir_2KB_10428,32KB,1674.31,6.23,3.27,10428,10428,20.37,0.60
/mnt/beegfs/test_dir_4KB_10428,32KB,1437.87,7.25,5.62,10428,10428,40.73,0.70
/mnt/beegfs/test_dir_8KB_10428,32KB,1349.11,7.73,10.54,10428,10428,81.47,0.74
/mnt/beegfs/test_dir_16KB_10428,32KB,1456.79,7.16,22.76,10428,10428,162.94,0.69
/mnt/beegfs/test_dir_512B_10428,32KB,1708.57,6.10,0.83,10428,10428,5.09,0.59
/mnt/beegfs/test_dir_1KB_10428,32KB,803.08,12.98,0.78,10429,10428,10.18,1.25
/mnt/beegfs/test_dir_2KB_10428,32KB,1081.11,9.65,2.11,10428,10428,20.37,0.92
/mnt/beegfs/test_dir_4KB_10428,32KB,1622.74,6.43,6.34,10428,10428,40.73,0.62
/mnt/beegfs/test_dir_8KB_10428,32KB,1499.02,6.96,11.71,10428,10428,81.47,0.67
/mnt/beegfs/test_dir_16KB_10428,32KB,1496.05,6.97,23.38,10428,10428,162.94,0.67
/mnt/beegfs/test_dir_512B_10428,32KB,1652.90,6.31,0.81,10428,10428,5.09,0.60
/mnt/beegfs/test_dir_1KB_10428,32KB,1634.17,6.38,1.60,10429,10428,10.18,0.61
/mnt/beegfs/test_dir_2KB_10428,32KB,1687.17,6.18,3.30,10428,10428,20.37,0.59
/mnt/beegfs/test_dir_4KB_10428,32KB,1716.03,6.08,6.70,10428,10428,40.73,0.58
/mnt/beegfs/test_dir_8KB_10428,32KB,1607.88,6.49,12.56,10428,10428,81.47,0.62
/mnt/beegfs/test_dir_16KB_10428,32KB,1470.23,7.09,22.97,10428,10428,162.94,0.68
/mnt/beegfs/test_dir_512B_10428,32KB,1636.94,6.37,0.80,10428,10428,5.09,0.61
/mnt/beegfs/test_dir_1KB_10428,32KB,1714.80,6.08,1.67,10429,10428,10.18,0.58
/mnt/beegfs/test_dir_2KB_10428,32KB,1813.90,5.75,3.54,10428,10428,20.37,0.55
/mnt/beegfs/test_dir_4KB_10428,32KB,1685.71,6.19,6.58,10428,10428,40.73,0.59
/mnt/beegfs/test_dir_8KB_10428,32KB,1592.29,6.55,12.44,10428,10428,81.47,0.63
/mnt/beegfs/test_dir_16KB_10428,32KB,1528.55,6.82,23.88,10428,10428,162.94,0.65
/mnt/beegfs/test_dir_512B_10428,32KB,1717.57,6.07,0.84,10428,10428,5.09,0.58
/mnt/beegfs/test_dir_1KB_10428,32KB,1784.64,5.84,1.74,10429,10428,10.18,0.56
/mnt/beegfs/test_dir_2KB_10428,32KB,1740.39,5.99,3.40,10428,10428,20.37,0.57
/mnt/beegfs/test_dir_4KB_10428,32KB,1681.31,6.20,6.57,10428,10428,40.73,0.59
/mnt/beegfs/test_dir_8KB_10428,32KB,1536.36,6.79,12.00,10428,10428,81.47,0.65
/mnt/beegfs/test_dir_16KB_10428,32KB,1461.05,7.14,22.83,10428,10428,162.94,0.68
/mnt/beegfs/test_dir_512B_10428,32KB,1669.92,6.24,0.82,10428,10428,5.09,0.60
/mnt/beegfs/test_dir_1KB_10428,32KB,1605.01,6.50,1.57,10429,10428,10.18,0.62
/mnt/beegfs/test_dir_2KB_10428,32KB,1879.49,5.55,3.67,10428,10428,20.37,0.53
/mnt/beegfs/test_dir_4KB_10428,32KB,1843.00,5.66,7.20,10428,10428,40.73,0.54
/mnt/beegfs/test_dir_8KB_10428,32KB,1489.65,7.00,11.64,10428,10428,81.47,0.67
/mnt/beegfs/test_dir_16KB_10428,32KB,1666.02,6.26,26.03,10428,10428,162.94,0.60
/mnt/beegfs/test_dir_512B_10428,32KB,1676.82,6.22,0.82,10428,10428,5.09,0.60
/mnt/beegfs/test_dir_1KB_10428,32KB,1649.35,6.32,1.61,10429,10428,10.18,0.61
/mnt/beegfs/test_dir_2KB_10428,32KB,1659.88,6.28,3.24,10428,10428,20.37,0.60
/mnt/beegfs/test_dir_4KB_10428,32KB,1882.83,5.54,7.35,10428,10428,40.73,0.53
/mnt/beegfs/test_dir_8KB_10428,32KB,1596.34,6.53,12.47,10428,10428,81.47,0.63
/mnt/beegfs/test_dir_16KB_10428,32KB,1494.78,6.98,23.36,10428,10428,162.94,0.67
/mnt/beegfs/test_dir_512B_10428,32KB,1679.27,6.21,0.82,10428,10428,5.09,0.60
/mnt/beegfs/test_dir_1KB_10428,32KB,1725.49,6.04,1.69,10429,10428,10.18,0.58
/mnt/beegfs/test_dir_2KB_10428,32KB,1638.99,6.36,3.20,10428,10428,20.37,0.61
/mnt/beegfs/test_dir_4KB_10428,32KB,1607.02,6.49,6.28,10428,10428,40.73,0.62
/mnt/beegfs/test_dir_8KB_10428,32KB,1496.89,6.97,11.69,10428,10428,81.47,0.67
/mnt/beegfs/test_dir_16KB_10428,32KB,1436.40,7.26,22.44,10428,10428,162.94,0.70
/mnt/beegfs/test_dir_512B_10428,32KB,1662.82,6.27,0.81,10428,10428,5.09,0.60
/mnt/beegfs/test_dir_1KB_10428,32KB,1651.25,6.32,1.61,10429,10428,10.18,0.61
/mnt/beegfs/test_dir_2KB_10428,32KB,1663.19,6.27,3.25,10428,10428,20.37,0.60
/mnt/beegfs/test_dir_4KB_10428,32KB,1637.39,6.37,6.40,10428,10428,40.73,0.61
/mnt/beegfs/test_dir_8KB_10428,32KB,1543.62,6.76,12.06,10428,10428,81.47,0.65
/mnt/beegfs/test_dir_16KB_10428,32KB,1455.89,7.16,22.75,10428,10428,162.94,0.69
/mnt/beegfs/test_dir_512B_10428,32KB,1645.56,6.34,0.80,10428,10428,5.09,0.61
/mnt/beegfs/test_dir_1KB_10428,32KB,1608.37,6.48,1.57,10429,10428,10.18,0.62
/mnt/beegfs/test_dir_2KB_10428,32KB,1727.88,6.04,3.37,10428,10428,20.37,0.58
/mnt/beegfs/test_dir_4KB_10428,32KB,1720.08,6.06,6.72,10428,10428,40.73,0.58
/mnt/beegfs/test_dir_8KB_10428,32KB,1566.16,6.66,12.24,10428,10428,81.47,0.64
/mnt/beegfs/test_dir_16KB_10428,32KB,1563.49,6.67,24.43,10428,10428,162.94,0.64
/mnt/beegfs/test_dir_512B_10428,32KB,1682.34,6.20,0.82,10428,10428,5.09,0.59
/mnt/beegfs/test_dir_1KB_10428,32KB,1789.81,5.83,1.75,10429,10428,10.18,0.56
/mnt/beegfs/test_dir_2KB_10428,32KB,1739.53,5.99,3.40,10428,10428,20.37,0.57
/mnt/beegfs/test_dir_4KB_10428,32KB,1765.17,5.91,6.90,10428,10428,40.73,0.57
/mnt/beegfs/test_dir_8KB_10428,32KB,1509.03,6.91,11.79,10428,10428,81.47,0.66
/mnt/beegfs/test_dir_16KB_10428,32KB,1528.63,6.82,23.88,10428,10428,162.94,0.65
/mnt/beegfs/test_dir_512B_10428,32KB,1773.21,5.88,0.87,10428,10428,5.09,0.56
/mnt/beegfs/test_dir_1KB_10428,32KB,1752.05,5.95,1.71,10429,10428,10.18,0.57
/mnt/beegfs/test_dir_2KB_10428,32KB,1750.46,5.96,3.42,10428,10428,20.37,0.57
/mnt/beegfs/test_dir_4KB_10428,32KB,1783.77,5.85,6.97,10428,10428,40.73,0.56
/mnt/beegfs/test_dir_8KB_10428,32KB,1479.94,7.05,11.56,10428,10428,81.47,0.68
/mnt/beegfs/test_dir_16KB_10428,32KB,1549.92,6.73,24.22,10428,10428,162.94,0.65
/mnt/beegfs/test_dir_512B_10428,32KB,1664.85,6.26,0.81,10428,10428,5.09,0.60
/mnt/beegfs/test_dir_1KB_10428,32KB,1057.32,9.86,1.03,10429,10428,10.18,0.95
/mnt/beegfs/test_dir_2KB_10428,32KB,1050.64,9.93,2.05,10428,10428,20.37,0.95
/mnt/beegfs/test_dir_4KB_10428,32KB,816.82,12.77,3.19,10428,10428,40.73,1.22
/mnt/beegfs/test_dir_8KB_10428,32KB,1428.93,7.30,11.16,10428,10428,81.47,0.70
/mnt/beegfs/test_dir_16KB_10428,32KB,1476.16,7.06,23.06,10428,10428,162.94,0.68
/mnt/beegfs/test_dir_512B_10428,32KB,1650.00,6.32,0.81,10428,10428,5.09,0.61
/mnt/beegfs/test_dir_1KB_10428,32KB,1714.67,6.08,1.67,10429,10428,10.18,0.58
/mnt/beegfs/test_dir_2KB_10428,32KB,1689.16,6.17,3.30,10428,10428,20.37,0.59
/mnt/beegfs/test_dir_4KB_10428,32KB,1571.69,6.63,6.14,10428,10428,40.73,0.64
/mnt/beegfs/test_dir_8KB_10428,32KB,1597.87,6.53,12.48,10428,10428,81.47,0.63
/mnt/beegfs/test_dir_16KB_10428,32KB,1590.43,6.56,24.85,10428,10428,162.94,0.63
/mnt/beegfs/test_dir_512B_10428,32KB,1743.28,5.98,0.85,10428,10428,5.09,0.57
/mnt/beegfs/test_dir_1KB_10428,32KB,1681.93,6.20,1.64,10429,10428,10.18,0.59
/mnt/beegfs/test_dir_2KB_10428,32KB,1613.79,6.46,3.15,10428,10428,20.37,0.62
/mnt/beegfs/test_dir_4KB_10428,32KB,1948.11,5.35,7.61,10428,10428,40.73,0.51
/mnt/beegfs/test_dir_8KB_10428,32KB,1586.40,6.57,12.39,10428,10428,81.47,0.63
/mnt/beegfs/test_dir_16KB_10428,32KB,1450.17,7.19,22.66,10428,10428,162.94,0.69
/mnt/beegfs/test_dir_512B_10428,32KB,1608.82,6.48,0.79,10428,10428,5.09,0.62
/mnt/beegfs/test_dir_1KB_10428,32KB,1636.95,6.37,1.60,10429,10428,10.18,0.61
/mnt/beegfs/test_dir_2KB_10428,32KB,1729.94,6.03,3.38,10428,10428,20.37,0.58
/mnt/beegfs/test_dir_4KB_10428,32KB,1757.18,5.93,6.86,10428,10428,40.73,0.57
/mnt/beegfs/test_dir_8KB_10428,32KB,1671.71,6.24,13.06,10428,10428,81.47,0.60
/mnt/beegfs/test_dir_16KB_10428,32KB,1561.17,6.68,24.39,10428,10428,162.94,0.64
/home/oem/xyp/imagenet_code/gdsio/163test/data/test_dir_1KB_10428,32KB,2351.61,4.43,2.30,10429,10428,10.18,0.43
/home/oem/xyp/imagenet_code/gdsio/163test/data/test_dir_4KB_10428,32KB,2381.70,4.38,9.30,10428,10428,40.73,0.42
/mnt/beegfs/test_dir_512B_10428,32KB,1618.50,6.44,0.79,10428,10428,5.09,0.62
/mnt/beegfs/test_dir_1KB_10428,32KB,1575.37,6.62,1.54,10429,10428,10.18,0.63
/mnt/beegfs/test_dir_2KB_10428,32KB,1672.30,6.24,3.27,10428,10428,20.37,0.60
/mnt/beegfs/test_dir_4KB_10428,32KB,1587.82,6.57,6.20,10428,10428,40.73,0.63
/mnt/beegfs/test_dir_8KB_10428,32KB,1423.57,7.33,11.12,10428,10428,81.47,0.70
/mnt/beegfs/test_dir_16KB_10428,32KB,1446.22,7.21,22.60,10428,10428,162.94,0.69
/mnt/beegfs/test_dir_1KB_10428,32KB,1577.49,6.61,1.54,10429,10428,10.18,0.63
/mnt/beegfs/test_dir_4KB_10428,32KB,1575.42,6.62,6.15,10428,10428,40.73,0.63
/mnt/beegfs/test_dir_8KB_10428,32KB,1457.32,7.16,11.39,10428,10428,81.47,0.69
/mnt/beegfs/test_dir_16KB_10428,32KB,1442.12,7.23,22.53,10428,10428,162.94,0.69
/mnt/beegfs/test_dir_8KB_10428,32KB,0.00,0.00,0.00,0,0,0.00,0.00
