测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1MB_1024,512,256KB,3900.95,1.05,975.24,1024,4096,1024.00,70.31
/mnt/beegfs/test_dir_1MB_1024,512,512KB,2938.31,0.70,1469.15,1024,2048,1024.00,63.78
/mnt/beegfs/test_dir_1MB_1024,512,1MB,2221.26,0.46,2221.26,1024,1024,1024.00,79.63
/mnt/beegfs/test_dir_1MB_1024,1024,64KB,17174.00,0.95,1073.38,1024,16384,1024.00,25.69
/mnt/beegfs/test_dir_1MB_1024,1024,512KB,6627.83,0.31,3313.92,1024,2048,1024.00,38.89
/mnt/beegfs/test_dir_1MB_1024,1024,1MB,2043.91,0.50,2043.91,1024,1024,1024.00,132.67
/mnt/beegfs/test_dir_1MB_1024,1,64KB,1410.35,11.62,88.15,1024,16384,1024.00,0.68
/mnt/beegfs/test_dir_1MB_1024,1,128KB,1415.59,5.79,176.95,1024,8192,1024.00,0.68
/mnt/beegfs/test_dir_1MB_1024,1,256KB,1162.65,3.52,290.66,1024,4096,1024.00,0.82
/mnt/beegfs/test_dir_1MB_1024,1,512KB,902.60,2.27,451.30,1024,2048,1024.00,1.06
/mnt/beegfs/test_dir_1MB_1024,1,1MB,466.30,2.20,466.30,1024,1024,1024.00,2.06
/mnt/beegfs/test_dir_1MB_1024,2,32KB,2586.68,12.67,80.83,1024,32768,1024.00,0.74
/mnt/beegfs/test_dir_1MB_1024,2,64KB,2552.02,6.42,159.50,1024,16384,1024.00,0.75
/mnt/beegfs/test_dir_1MB_1024,2,128KB,2460.80,3.33,307.60,1024,8192,1024.00,0.78
/mnt/beegfs/test_dir_1MB_1024,2,256KB,2144.50,1.91,536.13,1024,4096,1024.00,0.89
/mnt/beegfs/test_dir_1MB_1024,2,512KB,1695.36,1.21,847.68,1024,2048,1024.00,1.12
/mnt/beegfs/test_dir_1MB_1024,2,1MB,925.86,1.11,925.86,1024,1024,1024.00,2.07
