测试目录,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1MB_1024,256KB,446.32,2.29,446.32,1024,1024,1024.00,2.24
/mnt/beegfs/test_dir_1MB_1024,512KB,442.98,2.31,442.98,1024,1024,1024.00,2.26
/mnt/beegfs/test_dir_1MB_1024,512B,455.87,2.25,455.87,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,1KB,456.88,2.24,456.88,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,2KB,454.88,2.25,454.88,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,4KB,452.40,2.26,452.40,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,8KB,455.91,2.25,455.91,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,16KB,458.57,2.23,458.57,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,32KB,451.33,2.27,451.33,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,64KB,453.73,2.26,453.73,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,128KB,450.28,2.27,450.28,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,256KB,446.26,2.29,446.26,1024,1024,1024.00,2.24
/mnt/beegfs/test_dir_1MB_1024,512KB,447.33,2.29,447.33,1024,1024,1024.00,2.24
/mnt/beegfs/test_dir_1MB_1024,512B,457.83,2.24,457.83,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,1KB,462.21,2.22,462.21,1024,1024,1024.00,2.16
/mnt/beegfs/test_dir_1MB_1024,2KB,458.31,2.23,458.31,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,4KB,455.05,2.25,455.05,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,8KB,460.81,2.22,460.81,1024,1024,1024.00,2.17
/mnt/beegfs/test_dir_1MB_1024,16KB,457.19,2.24,457.19,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,32KB,445.62,2.30,445.62,1024,1024,1024.00,2.24
/mnt/beegfs/test_dir_1MB_1024,64KB,450.48,2.27,450.48,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,128KB,445.96,2.30,445.96,1024,1024,1024.00,2.24
/mnt/beegfs/test_dir_1MB_1024,256KB,448.58,2.28,448.58,1024,1024,1024.00,2.23
/mnt/beegfs/test_dir_1MB_1024,512KB,441.61,2.32,441.61,1024,1024,1024.00,2.26
/mnt/beegfs/test_dir_1MB_1024,512B,458.03,2.24,458.03,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,1KB,459.51,2.23,459.51,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,2KB,454.47,2.25,454.47,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,4KB,458.78,2.23,458.78,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,8KB,459.35,2.23,459.35,1024,1024,1024.00,2.18
/mnt/beegfs/test_dir_1MB_1024,16KB,453.82,2.26,453.82,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,32KB,457.40,2.24,457.40,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,64KB,452.30,2.26,452.30,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,128KB,450.48,2.27,450.48,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,256KB,449.75,2.28,449.75,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,512KB,444.63,2.30,444.63,1024,1024,1024.00,2.25
/mnt/beegfs/test_dir_1MB_1024,512B,455.89,2.25,455.89,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,1KB,454.56,2.25,454.56,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,2KB,454.85,2.25,454.85,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,4KB,454.92,2.25,454.92,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,8KB,456.18,2.24,456.18,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,16KB,450.38,2.27,450.38,1024,1024,1024.00,2.22
/mnt/beegfs/test_dir_1MB_1024,32KB,456.49,2.24,456.49,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,64KB,454.46,2.25,454.46,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,128KB,460.88,2.22,460.88,1024,1024,1024.00,2.17
/mnt/beegfs/test_dir_1MB_1024,256KB,443.34,2.31,443.34,1024,1024,1024.00,2.26
/mnt/beegfs/test_dir_1MB_1024,512KB,439.58,2.33,439.58,1024,1024,1024.00,2.27
/mnt/beegfs/test_dir_1MB_1024,512B,460.49,2.22,460.49,1024,1024,1024.00,2.17
/mnt/beegfs/test_dir_1MB_1024,1KB,462.99,2.21,462.99,1024,1024,1024.00,2.16
/mnt/beegfs/test_dir_1MB_1024,2KB,461.00,2.22,461.00,1024,1024,1024.00,2.17
/mnt/beegfs/test_dir_1MB_1024,4KB,454.27,2.25,454.27,1024,1024,1024.00,2.20
/mnt/beegfs/test_dir_1MB_1024,8KB,452.91,2.26,452.91,1024,1024,1024.00,2.21
/mnt/beegfs/test_dir_1MB_1024,16KB,456.72,2.24,456.72,1024,1024,1024.00,2.19
/mnt/beegfs/test_dir_1MB_1024,32KB,1315.86,0.78,1315.86,1024,1024,1024.00,0.76
/mnt/beegfs/test_dir_1MB_1024,32KB,1416.77,0.72,1416.77,1024,1024,1024.00,0.71
/mnt/beegfs/test_dir_1MB_1024,64KB,1446.99,0.71,1446.99,1024,1024,1024.00,0.69
/mnt/beegfs/test_dir_1MB_1024,128KB,1327.57,0.77,1327.57,1024,1024,1024.00,0.75
/mnt/beegfs/test_dir_1MB_1024,256KB,1259.09,0.81,1259.09,1024,1024,1024.00,0.79
/mnt/beegfs/test_dir_1MB_1024,512KB,1098.66,0.93,1098.66,1024,1024,1024.00,0.91
/mnt/beegfs/test_dir_1MB_1024,512B,1587.87,0.64,1587.87,1024,1024,1024.00,0.63
/mnt/beegfs/test_dir_1MB_1024,1KB,1690.60,0.61,1690.60,1024,1024,1024.00,0.59
/mnt/beegfs/test_dir_1MB_1024,2KB,1994.44,0.51,1994.44,1024,1024,1024.00,0.50
/mnt/beegfs/test_dir_1MB_1024,4KB,1688.61,0.61,1688.61,1024,1024,1024.00,0.59
/mnt/beegfs/test_dir_1MB_1024,8KB,1477.59,0.69,1477.59,1024,1024,1024.00,0.68
/mnt/beegfs/test_dir_1MB_1024,16KB,1554.29,0.66,1554.29,1024,1024,1024.00,0.64
/mnt/beegfs/test_dir_1MB_1024,32KB,1529.33,0.67,1529.33,1024,1024,1024.00,0.65
/mnt/beegfs/test_dir_1MB_1024,64KB,1392.88,0.74,1392.88,1024,1024,1024.00,0.72
/mnt/beegfs/test_dir_1MB_1024,128KB,1283.03,0.80,1283.03,1024,1024,1024.00,0.78
/mnt/beegfs/test_dir_1MB_1024,256KB,1276.45,0.80,1276.45,1024,1024,1024.00,0.78
/mnt/beegfs/test_dir_1MB_1024,512KB,1082.73,0.95,1082.73,1024,1024,1024.00,0.92
/mnt/beegfs/test_dir_1MB_1024,512B,1758.96,0.58,1758.96,1024,1024,1024.00,0.57
/mnt/beegfs/test_dir_1MB_1024,1KB,1780.69,0.58,1780.69,1024,1024,1024.00,0.56
/mnt/beegfs/test_dir_1MB_1024,2KB,1740.90,0.59,1740.90,1024,1024,1024.00,0.57
/mnt/beegfs/test_dir_1MB_1024,4KB,1771.69,0.58,1771.69,1024,1024,1024.00,0.56
/mnt/beegfs/test_dir_1MB_1024,8KB,1762.82,0.58,1762.82,1024,1024,1024.00,0.57
/mnt/beegfs/test_dir_1MB_1024,16KB,1577.01,0.65,1577.01,1024,1024,1024.00,0.63
/mnt/beegfs/test_dir_1MB_1024,32KB,1607.24,0.64,1607.24,1024,1024,1024.00,0.62
/mnt/beegfs/test_dir_1MB_1024,64KB,1399.31,0.73,1399.31,1024,1024,1024.00,0.71
/mnt/beegfs/test_dir_1MB_1024,128KB,1344.22,0.76,1344.22,1024,1024,1024.00,0.74
