BatchSize,BaselineDataTime(s),OursDataTime(s),BaselineTrainTime(s),OursTrainTime(s)
8,0.007963315,0.003588945,0.026126433,0.024131116
16,0.014296235,0.006138337,0.024221843,0.023283135
32,0.044608158,0.007042786,0.028603701,0.024841894
64,0.118922359,0.006000062,0.033979581,0.033344382
128,0.216662756,0.011435493,0.05009082,0.048680659
256,0.437187306,0.033179436,0.081432159,0.082664044
