Directory,Max Workers,Total Time(s)
/mnt/beegfs/test_dir_4KB_10428,1,17.453804016
/mnt/beegfs/test_dir_4KB_10428,1,16.752032042
/mnt/beegfs/test_dir_4KB_10428,1,15.637058973
/mnt/beegfs/test_dir_4KB_10428,1,15.338197947
/mnt/beegfs/test_dir_4KB_10428,1,15.599857092
/mnt/beegfs/test_dir_4KB_10428,1,16.033027649
/mnt/beegfs/test_dir_4KB_10428,1,8.127413750
/mnt/beegfs/test_dir_4KB_10428,1,15.295560360
/mnt/beegfs/test_dir_4KB_10428,1,15.773882389
/mnt/beegfs/test_dir_4KB_10428,1,16.954452753
/mnt/beegfs/test_dir_4KB_10428,1,15.900115967
/mnt/beegfs/test_dir_4KB_10428,1,8.836406946
/mnt/beegfs/test_dir_4KB_10428,1,15.000748634
/mnt/beegfs/test_dir_4KB_10428,1,14.810028791
/mnt/beegfs/test_dir_4KB_10428,1,14.773601532
/mnt/beegfs/test_dir_4KB_10428,1,14.261722088
/mnt/beegfs/test_dir_4KB_10428,1,16.016797781
/mnt/beegfs/test_dir_4KB_10428,1,15.770685911
/mnt/beegfs/test_dir_4KB_10428,1,15.943252087
/mnt/beegfs/test_dir_4KB_10428,1,11.612379551
/mnt/beegfs/test_dir_4KB_10428,2,7.214621067
/mnt/beegfs/test_dir_4KB_10428,2,2.584755182
/mnt/beegfs/test_dir_4KB_10428,2,6.748286247
/mnt/beegfs/test_dir_4KB_10428,2,6.817630768
/mnt/beegfs/test_dir_4KB_10428,2,7.908908844
/mnt/beegfs/test_dir_4KB_10428,2,7.539053202
/mnt/beegfs/test_dir_4KB_10428,2,7.342850447
/mnt/beegfs/test_dir_4KB_10428,2,7.244459629
/mnt/beegfs/test_dir_4KB_10428,2,7.063450098
/mnt/beegfs/test_dir_4KB_10428,2,6.153006315
/mnt/beegfs/test_dir_4KB_10428,2,7.737313032
/mnt/beegfs/test_dir_4KB_10428,2,7.778250456
/mnt/beegfs/test_dir_4KB_10428,2,7.644738436
/mnt/beegfs/test_dir_4KB_10428,2,7.919572353
/mnt/beegfs/test_dir_4KB_10428,2,7.863609791
/mnt/beegfs/test_dir_4KB_10428,2,7.240308762
/mnt/beegfs/test_dir_4KB_10428,2,8.125138283
/mnt/beegfs/test_dir_4KB_10428,2,7.848247528
/mnt/beegfs/test_dir_4KB_10428,2,7.618240118
/mnt/beegfs/test_dir_4KB_10428,2,8.456330538
/mnt/beegfs/test_dir_4KB_10428,4,3.594395876
/mnt/beegfs/test_dir_4KB_10428,4,3.331361771
/mnt/beegfs/test_dir_4KB_10428,4,3.444829941
/mnt/beegfs/test_dir_4KB_10428,4,3.445026875
