Directory,Max Workers,Total Time(s)
/mnt/beegfs/test_dir_1KB_10428,32,5.623838902
/mnt/beegfs/test_dir_1KB_10428,32,1.959399939
/mnt/beegfs/test_dir_1KB_10428,32,2.168537617
/mnt/beegfs/test_dir_1KB_10428,32,1.956938267
/mnt/beegfs/test_dir_1KB_10428,32,2.035022736
/mnt/beegfs/test_dir_1KB_10428,32,1.905069828
/mnt/beegfs/test_dir_1KB_10428,32,1.943637133
/mnt/beegfs/test_dir_1KB_10428,32,1.694790840
/mnt/beegfs/test_dir_1KB_10428,32,1.760288239
/mnt/beegfs/test_dir_1KB_10428,32,2.001281738
/mnt/beegfs/test_dir_1KB_10428,32,1.935164690
/mnt/beegfs/test_dir_1KB_10428,32,1.631337881
/mnt/beegfs/test_dir_1KB_10428,32,0.913793564
/mnt/beegfs/test_dir_1KB_10428,32,1.572994947
/mnt/beegfs/test_dir_1KB_10428,32,1.628158092
/mnt/beegfs/test_dir_1KB_10428,64,1.766474485
/mnt/beegfs/test_dir_1KB_10428,64,1.553392172
/mnt/beegfs/test_dir_1KB_10428,64,2.166109562
/mnt/beegfs/test_dir_1KB_10428,64,1.525998354
/mnt/beegfs/test_dir_1KB_10428,64,1.816175699
/mnt/beegfs/test_dir_1KB_10428,64,1.520620584
/mnt/beegfs/test_dir_1KB_10428,64,1.802154303
/mnt/beegfs/test_dir_1KB_10428,64,1.808917761
/mnt/beegfs/test_dir_1KB_10428,64,2.079553604
/mnt/beegfs/test_dir_1KB_10428,64,2.067659140
/mnt/beegfs/test_dir_1KB_10428,64,2.155877829
/mnt/beegfs/test_dir_1KB_10428,64,1.892767906
/mnt/beegfs/test_dir_1KB_10428,64,1.618838310
/mnt/beegfs/test_dir_1KB_10428,64,2.088824987
/mnt/beegfs/test_dir_1KB_10428,64,1.974238396
/mnt/beegfs/test_dir_1KB_10428,64,1.911055326
/mnt/beegfs/test_dir_1KB_10428,64,2.171123981
/mnt/beegfs/test_dir_1KB_10428,64,1.761127710
/mnt/beegfs/test_dir_1KB_10428,64,2.148209333
/mnt/beegfs/test_dir_1KB_10428,64,1.584764242
/mnt/beegfs/test_dir_1KB_10428,128,2.542613506
/mnt/beegfs/test_dir_1KB_10428,128,2.484381676
/mnt/beegfs/test_dir_1KB_10428,128,1.716338396
/mnt/beegfs/test_dir_1KB_10428,128,2.037880421
/mnt/beegfs/test_dir_1KB_10428,128,1.754361153
