IOSize (KB),Threads,Throughput (GiB/sec),IOPS
16,1,0.033211,2176.516096
16,2,0.05496,3601.85856
16,4,0.102457,6714.621952
16,8,0.209235,13712.42496
16,16,0.358393,23487.643648
16,32,0.403036,26413.367296
16,64,0.305058,19992.281088
16,128,0.163053,10685.841408
16,255,0.069124,4530.110464
0.5,1,0.000931,1952.448512
0.5,2,0.001785,3743.41632
0.5,4,0.003457,7249.854464
0.5,8,0.006462,13551.796224
0.5,16,0.012581,26384.269312
0.5,32,0.014524,30459.035648
0.5,64,0.011471,24056.430592
0.5,128,0.008519,17865.637888
0.5,256,0.000365,765.46048
1,1,0.001976,2071.986176
1,2,0.003437,3603.955712
1,4,0.006774,7103.053824
1,8,0.013603,14263.779328
1,16,0.028383,29761.732608
1,32,0.031764,33306.968064
1,64,0.024769,25972.178944
1,128,0.015179,15916.335104
1,256,0.000753,789.577728
2,1,0.004655,2440.56064
2,2,0.006659,3491.233792
2,4,0.01328,6962.54464
2,8,0.027744,14545.846272
2,16,0.054827,28745.138176
2,32,0.063199,33134.477312
2,64,0.047516,24912.068608
2,128,0.025375,13303.808
2,256,0.00139,728.76032
4,1,0.012757,3344.171008
4,2,0.021724,5694.816256
4,4,0.032542,8530.690048
4,8,0.060293,15805.448192
4,16,0.105804,27735.883776
4,32,0.127729,33483.390976
4,64,0.089362,23425.712128
4,128,0.048823,12798.656512
4,256,0.020434,5356.650496
8,1,0.02343,3071.01696
8,2,0.044355,5813.69856
8,4,0.072475,9499.4432
8,8,0.164942,21619.277824
8,16,0.162117,21248.999424
8,32,0.21041,27578.85952
8,64,0.152764,20023.083008
8,128,0.087384,11453.595648
8,256,0.039302,5151.391744
16,1,0.031994,2096.758784
16,2,0.055913,3664.314368
16,4,0.104861,6872.170496
16,8,0.183037,11995.512832
16,16,0.334837,21943.877632
16,32,0.386239,25312.559104
16,64,0.303586,19895.812096
16,128,0.157642,10331.226112
16,256,0.071642,4695.130112
0.5,1,0.000862,1807.745024
0.5,2,0.001745,3659.53024
0.5,4,0.003302,6924.795904
0.5,8,0.005997,12576.620544
0.5,16,0.013473,28254.928896
0.5,32,0.014926,31302.090752
0.5,64,0.011166,23416.799232
0.5,128,0.008576,17985.175552
0.5,256,0.00038,796.91776
1,1,0.001994,2090.860544
1,2,0.003577,3750.756352
1,4,0.006933,7269.777408
1,8,0.014298,14992.539648
1,16,0.028252,29624.369152
1,32,0.031698,33237.762048
1,64,0.023043,24162.336768
1,128,0.014435,15136.19456
1,256,0.000761,797.966336
2,1,0.004973,2607.284224
2,2,0.006502,3408.920576
2,4,0.013313,6979.846144
2,8,0.027306,14316.208128
2,16,0.052981,27777.302528
2,32,0.064172,33644.609536
2,64,0.046991,24636.817408
2,128,0.025789,13520.863232
2,256,0.00155,812.6464
4,1,0.012191,3195.797504
4,2,0.024886,6523.715584
4,4,0.052548,13775.142912
4,8,0.066784,17507.024896
4,16,0.106582,27939.831808
4,32,0.125708,32953.597952
4,64,0.096627,25330.188288
4,128,0.048075,12602.5728
4,256,0.022102,5793.906688
8,1,0.024181,3169.452032
8,2,0.040934,5365.301248
8,4,0.078437,10280.894464
8,8,0.144736,18970.836992
8,16,0.196378,25739.657216
8,32,0.236217,30961.434624
8,64,0.164237,21526.872064
8,128,0.089374,11714.428928
8,256,0.041945,5497.81504
16,1,0.032577,2134.966272
16,2,0.054719,3586.064384
16,4,0.112747,7388.987392
16,8,0.193029,12650.348544
16,16,0.337485,22117.41696
16,32,0.369664,24226.299904
16,64,0.280707,18396.413952
16,128,0.153468,10057.678848
16,256,0.072711,4765.188096
0.5,1,0.000902,1891.631104
0.5,2,0.001882,3946.840064
0.5,4,0.003619,7589.593088
0.5,8,0.006661,13969.129472
0.5,16,0.013716,28764.536832
0.5,32,0.015124,31717.326848
0.5,64,0.011263,23620.222976
0.5,128,0.008765,18381.53728
0.5,256,0.000386,809.500672
1,1,0.001982,2078.277632
1,2,0.003457,3624.927232
1,4,0.007279,7632.584704
1,8,0.013044,13677.625344
1,16,0.025958,27218.935808
1,32,0.033853,35497.443328
1,64,0.023242,24371.003392
1,128,0.014475,15178.1376
1,256,0.000741,776.994816
2,1,0.005387,2824.339456
2,2,0.006636,3479.175168
2,4,0.01331,6978.27328
2,8,0.025525,13382.4512
2,16,0.051083,26782.203904
2,32,0.06245,32741.7856
2,64,0.050112,26273.120256
2,128,0.02567,13458.47296
2,256,0.001485,778.56768
4,1,0.012294,3222.798336
4,2,0.023853,6252.920832
4,4,0.038776,10164.895744
4,8,0.061525,16128.4096
4,16,0.111745,29293.28128
4,32,0.111802,29308.223488
4,64,0.089394,23434.100736
4,128,0.046909,12296.912896
4,256,0.02239,5869.40416
8,1,0.023099,3027.632128
8,2,0.042777,5606.866944
8,4,0.065584,8596.226048
8,8,0.175468,22998.941696
8,16,0.203313,26648.641536
8,32,0.192336,25209.864192
8,64,0.154796,20289.421312
8,128,0.086486,11335.892992
8,256,0.036779,4820.697088
16,1,0.031869,2088.566784
16,2,0.05556,3641.18016
16,4,0.109492,7175.667712
16,8,0.190127,12460.163072
16,16,0.347556,22777.430016
16,32,0.401753,26329.284608
16,64,0.290004,19005.702144
16,128,0.157089,10294.984704
16,256,0.065548,4295.753728
0.5,1,0.000898,1883.242496
0.5,2,0.001898,3980.394496
0.5,4,0.003594,7537.164288
0.5,8,0.006818,14298.382336
0.5,16,0.01306,27388.80512
0.5,32,0.014348,30089.936896
0.5,64,0.011952,25065.160704
0.5,128,0.008578,17989.369856
0.5,256,0.000387,811.597824
1,1,0.002082,2183.135232
1,2,0.003562,3735.027712
1,4,0.007087,7431.258112
1,8,0.013577,14236.516352
1,16,0.028034,29395.779584
1,32,0.03024,31708.93824
1,64,0.022746,23850.909696
1,128,0.013968,14646.509568
1,256,0.00076,796.91776
2,1,0.005002,2622.488576
2,2,0.006958,3647.995904
2,4,0.015494,8123.318272
2,8,0.029124,15269.363712
2,16,0.052038,27282.898944
2,32,0.061369,32175.030272
2,64,0.045218,23707.254784
2,128,0.025752,13501.464576
2,256,0.001477,774.373376
4,1,0.012545,3288.59648
4,2,0.025898,6789.005312
4,4,0.042568,11158.945792
4,8,0.068973,18080.858112
4,16,0.113837,29841.686528
4,32,0.130089,34102.050816
4,64,0.090467,23715.381248
4,128,0.047663,12494.569472
4,256,0.023155,6069.94432
8,1,0.023022,3017.539584
8,2,0.050546,6625.165312
8,4,0.103996,13630.963712
8,8,0.176408,23122.149376
8,16,0.175274,22973.513728
8,32,0.211601,27734.966272
8,64,0.148508,19465.240576
8,128,0.088349,11580.080128
8,256,0.037927,4971.167744
16,1,0.030858,2022.309888
16,2,0.055758,3654.156288
16,4,0.098453,6452.215808
16,8,0.241935,15855.45216
16,16,0.342623,22454.140928
16,32,0.382141,25043.992576
16,64,0.303888,19915.603968
16,128,0.153224,10041.688064
16,256,0.067534,4425.908224
0.5,1,0.000897,1881.145344
0.5,2,0.001725,3617.5872
0.5,4,0.003624,7600.078848
0.5,8,0.006965,14606.66368
0.5,16,0.013857,29060.235264
0.5,32,0.016127,33820.770304
0.5,64,0.012044,25258.098688
0.5,128,0.008792,18438.160384
0.5,256,0.000382,801.112064
1,1,0.002083,2184.183808
1,2,0.003467,3635.412992
1,4,0.007266,7618.953216
1,8,0.013147,13785.628672
