ThreadNum,OUR,GDS,POSIX
1,0.739539531,0.251370176,0.302099609
2,1.852964133,0.8688579,0.492734375
4,3.900869255,1.799558444,0.849902344
8,4.648432557,3.406568667,1.130195313
16,5.415634253,3.798677333,1.083896484
32,6.45187646,3.702722333,1.075732422
64,6.790155707,3.467803667,1.051523438
128,6.927263522,3.066695,1.071923828
256,6.963852416,2.26718,1.09015625
512,6.988093371,,1.054960938
1024,6.977904612,,1.026064453
