epoch,phase,gpu_load,memory_used,memory_allocated,memory_cached,duration,batch_size,worker_num,prefetch_factor
0,data_loading,0.0,373.0,51.87890625,64.0,0.5577783584594727,16,8,1
0,data_loading,0.0,1021.0,155.7919921875,632.0,0.0026628971099853516,16,8,1
0,data_loading,11.0,1021.0,155.9169921875,632.0,0.002445220947265625,16,8,1
0,data_loading,0.0,1021.0,155.9169921875,632.0,0.0020246505737304688,16,8,1
0,data_loading,12.0,1021.0,156.9169921875,632.0,0.0022966861724853516,16,8,1
0,data_loading,11.0,1021.0,156.7294921875,632.0,0.0022172927856445312,16,8,1
0,data_loading,8.0,1021.0,156.3544921875,632.0,0.002168416976928711,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.0023605823516845703,16,8,1
0,data_loading,0.0,1021.0,156.2919921875,632.0,0.0025510787963867188,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.0026171207427978516,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.0023031234741210938,16,8,1
0,data_loading,12.0,1021.0,156.6669921875,632.0,0.0022668838500976562,16,8,1
0,data_loading,0.0,1021.0,156.2919921875,632.0,0.0021796226501464844,16,8,1
0,data_loading,12.0,1021.0,156.6669921875,632.0,0.002647876739501953,16,8,1
0,data_loading,0.0,1021.0,156.2919921875,632.0,0.0022706985473632812,16,8,1
0,data_loading,12.0,1021.0,156.6669921875,632.0,0.0022552013397216797,16,8,1
0,data_loading,0.0,1021.0,156.2919921875,632.0,0.002256631851196289,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.0022776126861572266,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0022590160369873047,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.0021996498107910156,16,8,1
0,data_loading,0.0,1021.0,156.2919921875,632.0,0.0021822452545166016,16,8,1
0,data_loading,12.0,1021.0,156.6669921875,632.0,0.002228975296020508,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0024459362030029297,16,8,1
0,data_loading,7.000000000000001,1021.0,156.6669921875,632.0,0.0023055076599121094,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0024292469024658203,16,8,1
0,data_loading,12.0,1021.0,156.6669921875,632.0,0.002244710922241211,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0022170543670654297,16,8,1
0,data_loading,5.0,1021.0,156.6669921875,632.0,0.002536773681640625,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0020856857299804688,16,8,1
0,data_loading,8.0,1021.0,156.6669921875,632.0,0.002243518829345703,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.0021827220916748047,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.0022842884063720703,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0025739669799804688,16,8,1
0,data_loading,9.0,1021.0,156.6669921875,632.0,0.0026819705963134766,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0021965503692626953,16,8,1
0,data_loading,12.0,1021.0,156.6669921875,632.0,0.0023643970489501953,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.002242565155029297,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.002256631851196289,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.0021522045135498047,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.002185344696044922,16,8,1
0,data_loading,8.0,1021.0,156.2919921875,632.0,0.0026018619537353516,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.0021855831146240234,16,8,1
0,data_loading,8.0,1021.0,156.2919921875,632.0,0.002574920654296875,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.003032684326171875,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.0025358200073242188,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.0025844573974609375,16,8,1
0,data_loading,8.0,1021.0,156.2919921875,632.0,0.002262592315673828,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.002577066421508789,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0025081634521484375,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.0022559165954589844,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0022735595703125,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.0020797252655029297,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.0021789073944091797,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.002264261245727539,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.002167224884033203,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.0021402835845947266,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.002206087112426758,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.002215147018432617,16,8,1
0,data_loading,8.0,1021.0,156.2919921875,632.0,0.002213716506958008,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.002204418182373047,16,8,1
0,data_loading,1.0,1021.0,156.2919921875,632.0,0.002178192138671875,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.0021636486053466797,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.001992464065551758,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.002170085906982422,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.002215862274169922,16,8,1
0,data_loading,11.0,1021.0,156.6669921875,632.0,0.003199338912963867,16,8,1
0,data_loading,12.0,1021.0,156.2919921875,632.0,0.0021805763244628906,16,8,1
0,data_loading,0.0,1021.0,156.6669921875,632.0,0.0021209716796875,16,8,1
0,data_loading,11.0,1021.0,156.2919921875,632.0,0.002444028854370117,16,8,1
0,data_loading,12.0,1021.0,156.6669921875,632.0,0.0022475719451904297,16,8,1
