ThreadNum,OUR,GDS,POSIX
1,0.787423483,0.414790889,0.419423828
2,2.977795838,0.777808667,0.750820313
4,4.962761134,1.715794778,1.177685547
8,6.827642203,3.001792,1.43359375
16,6.512207503,3.582972111,0.802246094
32,6.880352977,4.103557,0.7596875
64,6.945057189,2.949271,0.749082031
128,7.029160979,2.715102,1.055859375
256,7.02176463,2.184536,0.805976563
512,7.028510753,,0.958271484
1024,7.022751772,,1.066240234
