batch_size,worker_num,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train
8,4,0.10797267300742013,0.0005404949188232422,12.037344932556152,0.013327717781066895,0.022282958030700684,0.023100705373854863,0.017676591873168945,0.4354515075683594,0.0187680721282959,0.032680630683898926
8,4,0.09643187598576622,0.0006024837493896484,11.817631959915161,0.001631021499633789,0.010065317153930664,0.03141799048771934,0.021502017974853516,0.44141197204589844,0.02844369411468506,0.03430593013763428
8,4,0.09389958684406584,0.0005481243133544922,11.719326734542847,0.0008999109268188477,0.0012039542198181152,0.03140412436591254,0.0182952880859375,0.4538102149963379,0.028487205505371094,0.030553877353668213
8,2,0.061680880803910515,0.0006339550018310547,6.3533360958099365,0.00966799259185791,0.10131239891052246,0.03184419964987134,0.01887202262878418,0.44080376625061035,0.028297901153564453,0.034485459327697754
8,0,0.07033160943833608,0.056484222412109375,0.21335411071777344,0.06696796417236328,0.08709442615509033,0.03178861784556555,0.017436981201171875,0.513751745223999,0.026278138160705566,0.20328539609909058
8,16,0.3715049047318716,0.0005207061767578125,46.69936919212341,0.0008965730667114258,0.0013329386711120605,0.03245049241989378,0.01790022850036621,0.592806339263916,0.028384804725646973,0.0386386513710022
16,2,0.136275363346887,0.000957489013671875,6.201616048812866,0.02972245216369629,2.45616655349733,0.035972773082672604,0.021280765533447266,0.41829633712768555,0.029781341552734375,0.18024970531463722
16,4,0.20075944113352942,0.000911712646484375,12.37337350845337,0.001352548599243164,4.730041551589998,0.03419830307127938,0.020277738571166992,0.4153904914855957,0.028245210647583008,0.17939958572387793
16,8,0.3438356225452726,0.0009062290191650391,21.583099126815796,0.0012786388397216797,8.202730364799555,0.033042192459106445,0.020375728607177734,0.48075389862060547,0.025800704956054688,0.20346384525299185
32,2,0.30310407280921936,0.0016736984252929688,6.584290027618408,0.09054183959960938,4.645175986289986,0.04298236966133118,0.024590492248535156,0.4826688766479492,0.028848767280578613,0.34554698228836117
32,4,0.3983921557664871,0.0016448497772216797,12.327346801757812,0.00197601318359375,8.533855667114274,0.04285869747400284,0.024659395217895508,0.5121426582336426,0.026465296745300293,0.3662983036041266
32,8,0.7463172003626823,0.0016329288482666016,23.826704025268555,0.0017377138137817383,16.441092221736938,0.0463748425245285,0.01600480079650879,0.6856284141540527,0.025662899017333984,0.4888186240196236
64,2,0.5528448075056076,0.003126859664916992,6.595661401748657,0.15457570552825928,5.6568858861923195,0.06774197518825531,0.03357052803039551,0.5103700160980225,0.03696882724761963,0.4442410826683043
64,4,0.854772612452507,0.003101825714111328,12.709463357925415,0.0031985044479370117,10.849148952960963,0.06523199379444122,0.03251791000366211,0.5023062229156494,0.0336606502532959,0.437155508995056
64,8,1.541355922818184,0.003110170364379883,24.61299228668213,0.0032160282135009766,20.92155456542968,0.0659150630235672,0.030607938766479492,0.49399328231811523,0.03573048114776611,0.4299293994903563
128,2,1.2127675414085388,0.006338596343994141,7.221383094787598,0.4068526029586792,6.754800837039945,0.12111598253250122,0.05255627632141113,0.530268669128418,0.05304908752441406,0.5016278100013731
128,4,1.7530822157859802,0.006092548370361328,13.357310771942139,0.006183266639709473,12.44759181976318,0.12129029631614685,0.04970836639404297,0.5426993370056152,0.05159425735473633,0.5130310678482054
128,8,3.0632465183734894,0.006101369857788086,24.461798191070557,0.006221294403076172,22.74994804620742,0.21477270126342773,0.04936408996582031,1.297990322113037,0.049751877784729004,1.2157150578498837
256,2,2.594472825527191,0.012039899826049805,8.453071355819702,0.9563900232315063,8.244790930747984,0.24881666898727417,0.08306002616882324,0.6009516716003418,0.15562748908996582,0.5896543645858764
256,4,3.612868845462799,0.012022018432617188,14.414980173110962,0.012236595153808594,13.982902593612668,0.29317378997802734,0.08156156539916992,0.7863461971282959,0.15239369869232178,0.7694504833221434
256,8,6.6681652665138245,0.012008428573608398,26.6360502243042,0.012301206588745117,25.837338039875025,0.2902892827987671,0.08105874061584473,0.7712571620941162,0.1544206142425537,0.7548099136352537
16,16,0.7483916698940216,0.0009355545043945312,47.07818245887756,0.0011262893676757812,17.890773339271664,0.03107603769453745,0.019721031188964844,0.4712700843811035,0.024019241333007812,0.1988020515441906
16,32,1.4929931050255185,0.0008993148803710938,93.99006271362305,0.0011141300201416016,35.71718864917779,0.02880133901323591,0.019907236099243164,0.4080328941345215,0.022177457809448242,0.18113909721374605
32,16,1.4807788729667664,0.0016160011291503906,47.328558921813965,0.0018177032470703125,32.657367000579896,0.04341752827167511,0.02468705177307129,0.5465269088745117,0.026821136474609375,0.38989239454269475
