batch_size,batchnum,worker_num,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train
16,10,4,1.0938662832433528,0.002857208251953125,11.902549743652344,0.014969825744628906,10.714512896537785,0.08252156864513051,0.020263195037841797,0.6711993217468262,0.020931720733642578,0.6085478544235232
16,100,4,0.1285452677471803,0.0027403831481933594,11.969709157943726,0.00940084457397461,0.03261399269104004,0.031733635628577506,0.020859241485595703,0.7105414867401123,0.02480483055114746,0.04497814178466797
16,100,8,0.24022138236772897,0.0026464462280273438,23.309287071228027,0.008438825607299805,0.017632246017456055,0.0309995967562836,0.012486696243286133,0.7228255271911621,0.02469611167907715,0.06031632423400879
16,1000,2,0.05150265603155999,0.005951404571533203,6.163566827774048,0.044350385665893555,0.08907055854797363,0.023423914666418785,0.018192529678344727,0.4561913013458252,0.021233558654785156,0.0277252197265625
16,1000,4,0.022433446718381714,0.004439115524291992,11.965556144714355,0.009182214736938477,0.03965353965759277,0.024885901680716745,0.01871037483215332,0.4137685298919678,0.02437734603881836,0.030623674392700195
16,1000,8,0.03371524929881215,0.002791166305541992,23.69543170928955,0.009061813354492188,0.01902461051940918,0.024077525743833192,0.01885080337524414,0.48215508460998535,0.02330803871154785,0.03035569190979004
16,1000,16,0.05817505172439865,0.004794120788574219,46.68267512321472,0.010681629180908203,0.02097153663635254,0.022731465416831093,0.015033721923828125,0.34395909309387207,0.021871089935302734,0.028223037719726562
32,1000,2,0.10800126644519421,0.00854635238647461,6.294479608535767,0.1015324592590332,0.20979905128479004,0.026524804807924008,0.024230003356933594,0.4494197368621826,0.025931119918823242,0.028621196746826172
32,1000,4,0.05054773436440574,0.005361795425415039,12.103403329849243,0.026254892349243164,0.11104965209960938,0.026317560946667467,0.01565384864807129,0.7175564765930176,0.02534961700439453,0.03197073936462402
32,1000,8,0.04034451552323409,0.007672309875488281,24.23310947418213,0.015978574752807617,0.022113561630249023,0.026690073184795552,0.0164337158203125,0.46210432052612305,0.025892019271850586,0.03191828727722168
32,1000,16,0.0638414698761779,0.0072116851806640625,47.037609338760376,0.015972137451171875,0.027568340301513672,0.026248785165640023,0.015121698379516602,0.639458179473877,0.02571249008178711,0.030017614364624023
64,1000,2,0.2380865201368913,0.013946771621704102,6.588533639907837,0.23021769523620605,0.4707603454589844,0.03493318548212042,0.02408742904663086,0.5094747543334961,0.034285545349121094,0.038355350494384766
64,1000,4,0.11443831298972938,0.01452016830444336,12.327476263046265,0.043315887451171875,0.3327510356903076,0.03601651734762735,0.025171995162963867,0.5165174007415771,0.035333871841430664,0.04049944877624512
64,1000,8,0.0609615794666759,0.010854721069335938,22.387092113494873,0.03849506378173828,0.04752397537231445,0.03573418949748372,0.02510833740234375,0.441861629486084,0.03519129753112793,0.03989434242248535
64,1000,16,0.08512486492122684,0.012319564819335938,46.723493576049805,0.03818941116333008,0.04577016830444336,0.035503354344096454,0.025485515594482422,0.7012460231781006,0.03446793556213379,0.039168596267700195
128,1000,2,0.48541863338573354,0.02509474754333496,7.1808648109436035,0.48334622383117676,0.9452261924743652,0.050669381192156845,0.040290117263793945,0.5810184478759766,0.04988551139831543,0.05451226234436035
128,1000,4,0.23742447580610002,0.023261308670043945,12.911935806274414,0.08525657653808594,0.699120044708252,0.05145220180134197,0.040236473083496094,0.746711254119873,0.050621986389160156,0.05489301681518555
128,1000,8,0.10535465277634658,0.02422475814819336,24.806467056274414,0.08001232147216797,0.09114360809326172,0.0522479489371255,0.04095602035522461,0.49662327766418457,0.05178689956665039,0.05598020553588867
128,1000,16,0.13127675375619255,0.024346113204956055,47.82685875892639,0.08397746086120605,0.0940704345703125,0.052773293677148045,0.04074406623840332,0.482485294342041,0.05179429054260254,0.05761575698852539
256,1000,2,0.8366842088880357,0.04747414588928223,6.9154133796691895,0.7240142822265625,1.6370561122894287,0.08116913961244748,0.07073974609375,0.4955475330352783,0.08064532279968262,0.08251547813415527
256,1000,4,0.4431411807949131,0.048059940338134766,13.825698137283325,0.17189669609069824,1.425377368927002,0.08330086275533244,0.07212591171264648,0.5701231956481934,0.08251070976257324,0.08813238143920898
256,1000,8,0.19234064956764121,0.04962325096130371,25.845953464508057,0.1650390625,0.18286490440368652,0.08452114430102674,0.07302451133728027,0.5866928100585938,0.0838313102722168,0.08884859085083008
256,1000,16,0.22148454177391516,0.04486203193664551,49.12707257270813,0.17374205589294434,0.19084930419921875,0.08423499270276233,0.07234597206115723,0.5713074207305908,0.0830385684967041,0.08809542655944824
512,1000,2,1.9664239078373105,0.10106110572814941,10.474685430526733,1.7931699752807617,3.8614509105682373,0.14520727933108152,0.1337885856628418,0.8072538375854492,0.14417624473571777,0.1528942584991455
512,1000,4,0.8508167378790491,0.0933072566986084,16.347847938537598,0.3566608428955078,2.494574546813965,0.1465242785530967,0.1355733871459961,0.759821891784668,0.145477294921875,0.15028166770935059
512,1000,8,0.3740874308568019,0.08710289001464844,27.554205656051636,0.3453078269958496,0.3637678623199463,0.1459790743314303,0.1343235969543457,0.8194482326507568,0.1448521614074707,0.14953207969665527
512,1000,16,0.4089754168446605,0.09114575386047363,51.78227376937866,0.3596174716949463,0.39266276359558105,0.1472023478992931,0.13604450225830078,0.7509932518005371,0.1458728313446045,0.15229082107543945
