batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
16,4,1,0.017787673685810353,0.0009746551513671875,0.5311877727508545,0.009639978408813477,0.09171819686889648,0.029092217435931215,0.016926050186157227,0.4635732173919678,0.025059223175048828,0.030726909637451172,0.0008738182558871732,0.0007987022399902344,0.0011670589447021484,0.0008730888366699219,0.0009329319000244141
16,8,1,0.005782127380371094,0.0009732246398925781,0.4458029270172119,0.0013270378112792969,0.0048067569732666016,0.02873307407492458,0.01718902587890625,0.5312931537628174,0.0236663818359375,0.03155636787414551,0.0008849979627250444,0.0008044242858886719,0.004288673400878906,0.0008416175842285156,0.0011293888092041016
16,16,1,0.008310537527103236,0.0009276866912841797,0.7088344097137451,0.0013275146484375,0.0020313262939453125,0.026906667369427067,0.01707744598388672,0.49327731132507324,0.0221254825592041,0.03128361701965332,0.0008484231363428701,0.0007917881011962891,0.0011708736419677734,0.0008378028869628906,0.0010833740234375
16,4,1,0.017643994624071783,0.0009303092956542969,0.4359598159790039,0.010732412338256836,0.07979607582092285,0.028784877002829373,0.01806950569152832,0.48377013206481934,0.024632692337036133,0.031760454177856445,0.0008666184869143042,0.0007920265197753906,0.001216888427734375,0.0008661746978759766,0.0009152889251708984
16,8,1,0.00753326935343223,0.0009598731994628906,0.6245646476745605,0.0013511180877685547,0.001974344253540039,0.02822892972738436,0.016133785247802734,0.5151576995849609,0.023474931716918945,0.03640437126159668,0.0008535644795634959,0.0007967948913574219,0.0013515949249267578,0.0008437633514404297,0.0010542869567871094
16,16,1,0.008436771902707543,0.000980377197265625,0.7103259563446045,0.0013926029205322266,0.002204418182373047,0.030470822117116193,0.016813278198242188,0.5779156684875488,0.024872541427612305,0.03398942947387695,0.000866861626653388,0.0008039474487304688,0.0012023448944091797,0.0008466243743896484,0.0011293888092041016
16,32,1,0.014610146531964293,0.0009341239929199219,1.3300011157989502,0.0013816356658935547,0.005056619644165039,0.027654638384828473,0.009083747863769531,0.5563883781433105,0.022844791412353516,0.03260970115661621,0.0008684101671275526,0.0007891654968261719,0.0019009113311767578,0.000843048095703125,0.0014293193817138672
32,4,1,0.044282688952908655,0.0016224384307861328,0.6124541759490967,0.021262645721435547,0.18404150009155273,0.02597216332312858,0.01580500602722168,0.4149289131164551,0.022073030471801758,0.034290313720703125,0.0016063298329268352,0.0015170574188232422,0.002427339553833008,0.001607656478881836,0.0016605854034423828
32,8,1,0.010839134159654673,0.0016307830810546875,0.7488880157470703,0.0018529891967773438,0.033110857009887695,0.02641300635762734,0.015395164489746094,0.47359609603881836,0.02238011360168457,0.034627437591552734,0.0015629447332703242,0.0015149116516113281,0.002432107925415039,0.001544952392578125,0.0017232894897460938
32,16,1,0.011679283463128723,0.0016355514526367188,0.9998598098754883,0.00176239013671875,0.002353668212890625,0.027246909566444925,0.015598773956298828,0.651853084564209,0.021140098571777344,0.03418254852294922,0.0015498411537397025,0.0015132427215576172,0.0029020309448242188,0.0015375614166259766,0.001596689224243164
32,32,1,0.012272331974293926,0.0016376972198486328,1.057281732559204,0.001752614974975586,0.0035762786865234375,0.03294043729800989,0.019846677780151367,1.1869089603424072,0.021050691604614258,0.034731388092041016,0.0017288179680852607,0.0015163421630859375,0.020023345947265625,0.001538991928100586,0.0019342899322509766
64,4,1,0.08593363336997457,0.003100156784057617,0.9424967765808105,0.06530451774597168,0.26480650901794434,0.03322632005899259,0.02123403549194336,0.3726177215576172,0.029700756072998047,0.06241202354431152,0.0030785362319190905,0.00299072265625,0.0039520263671875,0.003085613250732422,0.003154277801513672
64,8,1,0.01664376967024095,0.003117084503173828,0.9256107807159424,0.0033791065216064453,0.057975053787231445,0.03487968444824219,0.024239063262939453,0.5791482925415039,0.028951168060302734,0.06348347663879395,0.0030343626985455505,0.0029914379119873047,0.003932952880859375,0.0030183792114257812,0.0031163692474365234
