batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,training_time,data_todevice_time
16,4,1,0,4.734869003295898,1.7965550422668457,2.9383139610290527,0.08825564384460449
16,8,1,0,3.4860353469848633,0.5839948654174805,2.902040481567383,0.08938479423522949
16,16,1,0,3.5569376945495605,0.8393642902374268,2.717573404312134,0.08569073677062988
16,4,1,0,4.689316034317017,1.78204345703125,2.9072725772857666,0.08752846717834473
16,8,1,0,3.6119821071624756,0.7608602046966553,2.8511219024658203,0.08621001243591309
16,16,1,0,3.9296669960021973,0.8521139621734619,3.0775530338287354,0.08755302429199219
16,32,1,0,4.268743276596069,1.4756247997283936,2.793118476867676,0.08770942687988281
32,4,1,0,7.095740079879761,4.472551584243774,2.6231884956359863,0.16223931312561035
32,8,1,0,3.7624661922454834,1.094752550125122,2.6677136421203613,0.15785741806030273
32,16,1,0,3.9315454959869385,1.179607629776001,2.7519378662109375,0.15653395652770996
32,32,1,0,4.5664896965026855,1.2395055294036865,3.326984167098999,0.17461061477661133
64,4,1,0,12.035155296325684,8.679296970367432,3.355858325958252,0.3109321594238281
64,8,1,0,5.203868865966797,1.681020736694336,3.522848129272461,0.3064706325531006
64,16,1,0,5.463433504104614,1.3803377151489258,4.0830957889556885,0.3062615394592285
64,32,1,0,6.458038806915283,2.271345615386963,4.18669319152832,0.3064308166503906
128,4,1,0,23.92775273323059,18.91328763961792,5.014465093612671,0.6095240116119385
128,8,1,0,9.728405475616455,4.285643815994263,5.442761659622192,0.6074860095977783
128,16,1,0,8.531427383422852,2.9827539920806885,5.548673391342163,0.6054296493530273
128,32,1,0,9.898723125457764,3.370142698287964,6.5285804271698,0.6045517921447754
256,4,1,0,46.406248569488525,37.761741638183594,8.644506931304932,1.206763505935669
256,8,1,0,16.314282178878784,7.188030958175659,9.126251220703125,1.2041959762573242
256,16,1,0,14.624107599258423,5.524356126785278,9.099751472473145,1.202528953552246
256,32,1,0,17.695683479309082,8.288324356079102,9.40735912322998,1.2028281688690186
512,4,1,0,105.81820487976074,90.61589550971985,15.202309370040894,2.3994877338409424
512,8,1,0,34.88627767562866,19.587402820587158,15.298874855041504,2.397878646850586
512,16,1,0,25.53726053237915,9.311087131500244,16.226173400878906,2.392338514328003
16,4,1,0,74.03769731521606,27.995375633239746,46.04232168197632,1.7376317977905273
16,8,1,0,49.23188042640686,3.315556764602661,45.9163236618042,1.699026346206665
16,16,1,0,47.640724420547485,3.3734259605407715,44.267298460006714,1.702660322189331
16,32,1,0,52.24517321586609,3.8231918811798096,48.42198133468628,1.7087438106536865
32,4,1,0,133.42804145812988,87.90597724914551,45.522064208984375,3.1811366081237793
32,8,1,0,49.896897315979004,7.357051372528076,42.53984594345093,3.101341724395752
32,16,1,0,47.657692193984985,4.320633888244629,43.337058305740356,3.0757036209106445
32,32,1,0,47.08891940116882,4.705262184143066,42.38365721702576,3.0969722270965576
64,4,1,0,219.10353350639343,160.3977768421173,58.70575666427612,6.124420166015625
64,8,1,0,73.34768176078796,19.006664752960205,54.34101700782776,6.081228017807007
64,16,1,0,64.95021057128906,7.585910081863403,57.36430048942566,6.022268772125244
64,32,1,0,67.07536840438843,8.030282974243164,59.045085430145264,6.049129247665405
128,4,1,0,434.0436284542084,343.87455892562866,90.16906952857971,12.06895637512207
128,8,1,0,160.60948300361633,70.48127388954163,90.1282091140747,11.987073183059692
128,16,1,0,104.5812304019928,14.318752527236938,90.26247787475586,11.912946701049805
128,32,1,0,106.84278702735901,15.851542949676514,90.9912440776825,11.924389123916626
256,4,1,0,818.5236294269562,666.5589110851288,151.9647183418274,23.88064432144165
256,8,1,0,302.31143832206726,148.568532705307,153.74290561676025,23.82975482940674
256,16,1,0,181.76693677902222,28.474753379821777,153.29218339920044,23.846529960632324
256,32,1,0,185.73307943344116,30.6324942111969,155.10058522224426,23.756572008132935
512,4,1,0,1814.1198241710663,1535.2800941467285,278.83973002433777,47.53550148010254
512,4,1,0,1816.2577252388,1536.371733903885,279.88599133491516,47.471532344818115
512,8,1,0,567.3092458248138,287.2555162906647,280.05372953414917,47.4562783241272
512,16,1,0,335.7303104400635,55.70365357398987,280.0266568660736,47.37072992324829
512,32,1,0,342.94625091552734,60.35082483291626,282.5954260826111,47.37245512008667
16,0,1,0,294.07703709602356,251.5305414199829,42.54649567604065,5.017133951187134
16,1,1,0,299.00039076805115,252.4072585105896,46.59313225746155,1.7576510906219482
16,2,1,0,146.39714360237122,99.26075339317322,47.136390209198,1.773914098739624
32,0,1,0,558.251704454422,516.8914842605591,41.360220193862915,9.801113605499268
32,1,1,0,567.0584893226624,520.8941922187805,46.164297103881836,3.2754671573638916
32,2,1,0,287.4957687854767,241.72585463523865,45.76991415023804,3.269348382949829
64,0,1,0,1169.158133983612,1110.028136253357,59.12999773025513,15.122084856033325
64,1,1,0,1100.930059671402,1039.106213569641,61.823846101760864,6.23701286315918
64,2,1,0,454.3259325027466,401.8413178920746,52.484614610672,6.153501510620117
128,0,1,0,2046.2193188667297,1959.6151657104492,86.60415315628052,23.447696924209595
128,1,1,0,2118.1011304855347,2031.7568509578705,86.34427952766418,12.41050672531128
128,2,1,0,918.2966868877411,832.0778498649597,86.21883702278137,12.358037948608398
