model,batchsize,blocknum,threadnum,iteration,total_avg,total_avg_filter,total_fluctuation(%),data_avg,data_avg_filter,data_fluctuation(%),train_avg,train_avg_filter,train_fluctuation(%)
resnet18,128,1,128,2001,0.059864,0.0596966,0.2804,0.00714546,0.00714903,-0.049975,0.0527347,0.0525685,0.316043
resnet18,16,1,16,2001,0.0180655,0.0179065,0.887945,0.00301372,0.00301522,-0.049975,0.0150727,0.0149142,1.0626
resnet18,256,1,256,2001,0.128693,0.128433,0.20232,0.0143598,0.014367,-0.049975,0.114345,0.114111,0.205272
resnet18,32,1,32,2001,0.0229728,0.0227728,0.878632,0.00230665,0.0023078,-0.049975,0.0206845,0.0204863,0.967761
resnet18,64,1,64,2001,0.0350675,0.0349138,0.44039,0.00388022,0.00388216,-0.049975,0.031206,0.0310534,0.491568
