batch_size,worker_num,prefetch_factor,AVG_data,AVG_train,data_per,MIN_data,MAX_data,Median_data,p99_data,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
16,1,9,0.10242574822668936,0.03131331649481082,0.7658626029723025,0.0009493827819824219,0.33801722526550293,0.10414409637451172,0.26102256774902344,0.015774250030517578,0.49234509468078613,0.02222132682800293,0.26053905487060547,0.000882723752190085,0.0007920265197753906,0.0011649131774902344,0.0008788108825683594,0.0010404586791992188
16,1,10,0.09988732431449142,0.031098557453529508,0.762580844334004,0.0009315013885498047,0.3494572639465332,0.10248970985412598,0.26732194423675537,0.015704870223999023,0.48978614807128906,0.022253990173339844,0.2575165033340454,0.0008809659995284735,0.0007913112640380859,0.0011699199676513672,0.0008771419525146484,0.0010464191436767578
16,1,11,0.10368639347600002,0.03118271453707826,0.7687927576858115,0.0009589195251464844,0.3651461601257324,0.10639572143554688,0.2738194465637207,0.01594090461730957,0.49318432807922363,0.022188663482666016,0.2599693536758423,0.0008819991467045803,0.0007946491241455078,0.0012125968933105469,0.0008785724639892578,0.0010612010955810547
16,1,12,0.09984445104412004,0.03211255167044845,0.7566438232921221,0.0009381771087646484,0.34022998809814453,0.1024775505065918,0.24889230728149414,0.01624155044555664,0.4943869113922119,0.02317953109741211,0.2597430944442749,0.0009528889375574448,0.0007915496826171875,0.0043714046478271484,0.000881195068359375,0.002764463424682617
16,1,13,0.0993504477482216,0.03293508641860064,0.7510303252276476,0.0009627342224121094,0.3543109893798828,0.1023716926574707,0.2658904790878296,0.016107797622680664,0.5425384044647217,0.023175716400146484,0.2862128019332886,0.0008913021461636413,0.0007929801940917969,0.0011849403381347656,0.0008788108825683594,0.0011477470397949219
16,1,14,0.10524217755186792,0.033692635741888306,0.7574932089148136,0.0009777545928955078,0.36621809005737305,0.10943388938903809,0.27095162868499756,0.01674938201904297,0.5146663188934326,0.024034738540649414,0.27564048767089844,0.0008848414701573989,0.0007979869842529297,0.0011975765228271484,0.000881195068359375,0.0010551214218139648
16,1,15,0.10087170787886077,0.03128946528715246,0.7632476729920638,0.0009436607360839844,0.3664205074310303,0.10232043266296387,0.2684013843536377,0.01565694808959961,0.4969289302825928,0.022369384765625,0.25996220111846924,0.0008856829474954045,0.0007925033569335938,0.0011556148529052734,0.0008821487426757812,0.001042008399963379
16,1,16,0.10140330651227165,0.03339398141000785,0.7522651833376505,0.0009768009185791016,0.37326693534851074,0.10490846633911133,0.28114891052246094,0.017599821090698242,0.5121040344238281,0.023543357849121094,0.2750006914138794,0.0008824853336109835,0.0008020401000976562,0.00113677978515625,0.0008785724639892578,0.0010242462158203125
16,2,9,0.037711381912231445,0.03369282741172641,0.5281394790205787,0.0010559558868408203,0.35567212104797363,0.002334117889404297,0.22547698020935059,0.018944263458251953,0.5361371040344238,0.023125886917114258,0.2901930809020996,0.0009473492117489086,0.0008094310760498047,0.0047054290771484375,0.0008668899536132812,0.0029511451721191406
16,2,10,0.0365747376984241,0.034097657484166766,0.5175250902976862,0.0010390281677246094,0.362168550491333,0.0013196468353271484,0.25159764289855957,0.01698589324951172,0.6545639038085938,0.0220949649810791,0.3466097116470337,0.0008681615193684896,0.0008099079132080078,0.0012068748474121094,0.0008482933044433594,0.0011113882064819336
16,2,11,0.03879720089482326,0.032008030835319966,0.5479425735472384,0.0009930133819580078,0.38664913177490234,0.0013027191162109375,0.28814685344696045,0.016340970993041992,0.5597457885742188,0.021809101104736328,0.2925400733947754,0.0008588772194058288,0.0008001327514648438,0.0011861324310302734,0.0008392333984375,0.0010476112365722656
