model,batchsize,blocknum,threadnum,iteration,total_avg,total_avg_filter,total_fluctuation(%),data_avg,data_avg_filter,data_fluctuation(%),train_avg,train_avg_filter,train_fluctuation(%)
resnet18,128,1,128,2001,0.0536275,0.0534605,0.312315,0.00843331,0.00843753,-0.049975,0.0452081,0.0450418,0.369231
resnet18,16,1,16,2001,0.0240345,0.0238731,0.675796,0.00824212,0.00824625,-0.049975,0.0200497,0.0198882,0.811649
resnet18,256,1,256,2001,0.0938908,0.0936993,0.204407,0.0154679,0.0154756,-0.049975,0.078436,0.0782449,0.244245
resnet18,32,1,32,2001,0.0239051,0.0237353,0.715136,0.00809363,0.00809768,-0.049975,0.0202162,0.0200467,0.845509
resnet18,64,1,64,2001,0.0329195,0.0327651,0.47126,0.00540202,0.00540472,-0.049975,0.02847,0.0283174,0.538883
