model,batchsize,blocknum,threadnum,iteration,total_avg,total_avg_filter,total_fluctuation(%),data_avg,data_avg_filter,data_fluctuation(%),train_avg,train_avg_filter,train_fluctuation(%)
resnet18,128,1,128,2001,0.0565379,0.0563774,0.28466,0.00735689,0.00736057,-0.049975,0.0491949,0.0490357,0.324695
resnet18,16,1,16,2001,0.0215359,0.0213788,0.73468,0.00372407,0.00372594,-0.049975,0.0178433,0.0176861,0.888899
resnet18,256,1,256,2001,0.101924,0.101732,0.188257,0.014241,0.0142482,-0.049975,0.0876938,0.087503,0.218024
resnet18,32,1,32,2001,0.0231464,0.0229809,0.719946,0.00237673,0.00237792,-0.049975,0.0207866,0.0206222,0.79756
resnet18,64,1,64,2001,0.0331684,0.0330073,0.48787,0.00400056,0.00400256,-0.049975,0.0291855,0.0290254,0.551437
