batch_size,worker_num,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train
16,0,0.09869941693765145,0.07304167747497559,0.21261167526245117,0.09736442565917969,0.13299949645996098,0.02551639977796578,0.014389753341674805,0.3955419063568115,0.02543497085571289,0.032106757164001465
16,2,0.036805836654003755,0.000957489013671875,4.564568281173706,0.034868478775024414,0.07782589197158817,0.028929734230041505,0.019816160202026367,0.4808211326599121,0.02921605110168457,0.03498295783996582
16,4,0.010777485664979911,0.0011298656463623047,8.775627374649048,0.005455493927001953,0.025439651012420662,0.026668973763783774,0.010481595993041992,0.5027925968170166,0.027118802070617676,0.03337071418762207
16,8,0.010854961106806626,0.0010285377502441406,17.659972429275513,0.0039408206939697266,0.01575630426406861,0.028193192055195937,0.01571202278137207,0.5324478149414062,0.028431415557861328,0.034207715988159186
16,16,0.01701076258847743,0.0009906291961669922,35.22658181190491,0.0037338733673095703,0.02428966522216815,0.027535266861503507,0.010604381561279297,0.5225152969360352,0.028219223022460938,0.035249583721160896
16,32,0.031191850738760865,0.000957489013671875,70.41207122802734,0.00677490234375,0.04969067811965991,0.024895321439813684,0.011728286743164062,0.45343637466430664,0.024871230125427246,0.03381551980972291
32,0,0.19540882610980376,0.0852665901184082,0.4074544906616211,0.19534623622894287,0.2550492906570429,0.02567149312407882,0.01759505271911621,0.4914100170135498,0.024973630905151367,0.032512946128845206
32,2,0.10173586592262174,0.0016903877258300781,4.758393287658691,0.09703958034515381,0.2568584251403808,0.028947670812960024,0.015444278717041016,0.5073559284210205,0.02892768383026123,0.03449522972106933
32,4,0.04298323775515144,0.0017018318176269531,8.995317220687866,0.02243363857269287,0.259529662132263,0.028479868394357188,0.014685630798339844,0.4863545894622803,0.028344035148620605,0.03637029647827148
32,8,0.0281142168574863,0.0017476081848144531,17.855820417404175,0.014388322830200195,0.21705909013748134,0.026261943946649997,0.019237279891967773,0.5119807720184326,0.025498509407043457,0.03192643165588378
32,16,0.04039003966767111,0.0017223358154296875,35.34377336502075,0.014169573783874512,0.2809017157554626,0.026706784154161996,0.014893531799316406,0.7328379154205322,0.026050806045532227,0.033429241180419914
32,32,0.06634650097952949,0.0017747879028320312,69.78167605400085,0.014672994613647461,0.5248743486404396,0.025974240862293007,0.017089366912841797,1.1617653369903564,0.02500927448272705,0.03152149438858032
64,0,0.4406179949641228,0.3401942253112793,0.9051609039306641,0.43702471256256104,0.5870173382759086,0.029061892330646516,0.0240170955657959,0.4230780601501465,0.028493285179138184,0.032870585918426516
64,2,0.226192966401577,0.003143787384033203,4.964184999465942,0.22198784351348877,0.5275921392440795,0.03488276749849319,0.023021459579467773,0.5384316444396973,0.03602886199951172,0.042395217418670646
64,4,0.1006914409995079,0.003238677978515625,9.177634716033936,0.035372018814086914,0.5105513048171997,0.036655117869377134,0.02419114112854004,0.6406996250152588,0.03591763973236084,0.045131824016571044
64,8,0.07020175635814667,0.0032439231872558594,17.788522243499756,0.03460848331451416,0.5089624571800232,0.03245142012834549,0.022664308547973633,0.8420798778533936,0.033570170402526855,0.03974905014038086
64,16,0.09644628316164017,0.003246784210205078,35.736961364746094,0.03477358818054199,0.7350668883323668,0.034753947257995604,0.025830984115600586,0.623734712600708,0.03373849391937256,0.04026386737823486
64,32,0.15663256853818894,0.003194570541381836,70.85830783843994,0.035483360290527344,1.3159459733963013,0.0345233815908432,0.027314424514770508,1.4730217456817627,0.03195524215698242,0.04030287504196167
128,0,0.8209223538637161,0.6593351364135742,1.3004305362701416,0.8201695680618286,1.0078674387931823,0.049476023316383365,0.04130911827087402,0.4146080017089844,0.048348426818847656,0.05428297996520996
128,2,0.433562183380127,0.00627899169921875,5.341516494750977,0.38501882553100586,0.9712220573425292,0.05233039677143097,0.04257035255432129,0.5512440204620361,0.05135178565979004,0.056419677734375
128,4,0.23143468976020812,0.006331682205200195,9.975362539291382,0.08219969272613525,1.012854974269867,0.05209221184253693,0.0401611328125,0.634530782699585,0.05039191246032715,0.05637061357498169
128,8,0.1653720545768738,0.006185293197631836,18.898995399475098,0.0738450288772583,1.0683505702018736,0.05253896296024323,0.04047989845275879,0.6671533584594727,0.05047297477722168,0.057066011428833
128,16,0.23585771799087524,0.0061604976654052734,36.28558158874512,0.07425415515899658,1.6380295372009275,0.052553653717041016,0.04442739486694336,1.1902084350585938,0.04908716678619385,0.05753890037536621
128,32,0.3370504558086395,0.006136178970336914,72.21034860610962,0.07447898387908936,1.8982553076744078,0.05158736407756805,0.040556907653808594,1.0669641494750977,0.04831874370574951,0.05646279573440551
256,0,1.6363573443889619,0.9188621044158936,2.9055895805358887,1.6141308546066284,2.152633605003354,0.08303984522819519,0.07080721855163574,0.515765905380249,0.08062088489532471,0.09314002037048204
256,2,0.9692135298252106,0.012236833572387695,6.389447927474976,0.8438297510147095,2.023603694438934,0.08676047325134277,0.07374382019042969,0.830878496170044,0.08240556716918945,0.08875347375869624
