Method,Directory,ThreadNum,IOSIZE,Total Time(s),IOPS,Throughput(GiB/sec),Filenum,Avg_latancy(ms)
GDS,Beegfs_test_dir_1KB_10428,4,1KB,1.460555,7139.754,0.006809,10428,0.140061
GDS,Beegfs_test_dir_2KB_10428,4,2KB,1.493567,6981.943,0.013317,10428,0.143227
GDS,Beegfs_test_dir_4KB_10428,4,4KB,1.474686,7071.334,0.026975,10428,0.141416
GDS,Beegfs_test_dir_8KB_10428,4,8KB,1.394237,7479.362,0.057063,10428,0.133701
GDS,Beegfs_test_dir_16KB_10428,4,16KB,1.513340,6890.717,0.105144,10428,0.145123
GDS,Beegfs_test_dir_1MB_1024,4,32KB,0.160093,6396.281,0.195199,1024,0.156341
GDS,Beegfs_test_dir_1MB_1024,4,64KB,0.168930,6061.687,0.369976,1024,0.164971
GDS,Beegfs_test_dir_1MB_1024,4,128KB,0.158914,6443.737,0.786589,1024,0.155189
GDS,Beegfs_test_dir_1MB_1024,4,256KB,0.191872,5336.879,1.302949,1024,0.187375
GDS,Beegfs_test_dir_1MB_1024,4,512KB,0.262029,3907.963,1.908185,1024,0.255888
GDS,Beegfs_test_dir_1MB_1024,4,1024KB,0.472232,2168.425,2.117603,1024,0.461164
GDS,Beegfs_test_dir_512B_10428,8,512B,0.544330,19157.484,0.009135,10428,0.052199
GDS,Beegfs_test_dir_1KB_10428,8,1KB,0.487974,21369.979,0.020380,10428,0.046795
GDS,Beegfs_test_dir_2KB_10428,8,2KB,0.491982,21195.915,0.040428,10428,0.047179
GDS,Beegfs_test_dir_4KB_10428,8,4KB,0.438392,23786.947,0.090740,10428,0.042040
GDS,Beegfs_test_dir_8KB_10428,8,8KB,0.499299,20885.275,0.159342,10428,0.047881
GDS,Beegfs_test_dir_16KB_10428,8,16KB,0.491362,21222.654,0.323832,10428,0.047119
GDS,Beegfs_test_dir_1MB_1024,8,32KB,0.052179,19624.821,0.598902,1024,0.050956
GDS,Beegfs_test_dir_1MB_1024,8,64KB,0.058958,17368.170,1.060069,1024,0.057577
GDS,Beegfs_test_dir_1MB_1024,8,128KB,0.064030,15992.513,1.952211,1024,0.062529
GDS,Beegfs_test_dir_1MB_1024,8,256KB,0.082919,12349.473,3.015008,1024,0.080975
GDS,Beegfs_test_dir_1MB_1024,8,512KB,0.126118,8119.400,3.964551,1024,0.123162
GDS,Beegfs_test_dir_1MB_1024,8,1024KB,0.238737,4289.238,4.188709,1024,0.233142
GDS,Beegfs_test_dir_512B_10428,16,512B,0.251643,41439.724,0.019760,10428,0.024131
GDS,Beegfs_test_dir_1KB_10428,16,1KB,0.263225,39616.250,0.037781,10428,0.025242
GDS,Beegfs_test_dir_2KB_10428,16,2KB,0.290838,35855.008,0.068388,10428,0.027890
GDS,Beegfs_test_dir_4KB_10428,16,4KB,0.258214,40385.118,0.154057,10428,0.024762
GDS,Beegfs_test_dir_8KB_10428,16,8KB,0.338020,30850.286,0.235369,10428,0.032415
GDS,Beegfs_test_dir_16KB_10428,16,16KB,0.338708,30787.568,0.469781,10428,0.032481
GDS,Beegfs_test_dir_1MB_1024,16,32KB,0.034468,29708.616,0.906635,1024,0.033660
GDS,Beegfs_test_dir_1MB_1024,16,64KB,0.035310,28999.877,1.770012,1024,0.034483
GDS,Beegfs_test_dir_1MB_1024,16,128KB,0.042512,24087.224,2.940335,1024,0.041516
GDS,Beegfs_test_dir_1MB_1024,16,256KB,0.057208,17899.717,4.370048,1024,0.055867
GDS,Beegfs_test_dir_1MB_1024,16,512KB,0.103276,9915.185,4.841399,1024,0.100855
GDS,Beegfs_test_dir_1MB_1024,16,1024KB,0.193075,5303.643,5.179339,1024,0.188550
GDS,Beegfs_test_dir_512B_10428,32,512B,0.284059,36710.646,0.017505,10428,0.027240
GDS,Beegfs_test_dir_1KB_10428,32,1KB,0.299158,34857.812,0.033243,10428,0.028688
