Method,Directory,Max Workers,IOSIZE,Total Time(s),IOPS,Bandwidth(GBytes/s),filenum,avg_latancy(ms)
Baseline,/mnt/beegfs/test_dir_1MB_1024,8,512KB,0.349160194,2932.75,1.432007451,1024,0.340977
Baseline,/mnt/beegfs/test_dir_1MB_1024,16,512KB,0.234540939,4365.98,2.131823985,1024,0.229044
Baseline,/mnt/beegfs/test_dir_1MB_1024,32,512KB,0.269196749,3803.91,1.857377559,1024,0.262887
Baseline,/mnt/beegfs/test_dir_1MB_1024,64,512KB,0.281174898,3641.86,1.778252622,1024,0.274585
Baseline,/mnt/beegfs/test_dir_1MB_1024,128,512KB,0.278410196,3678.03,1.795911237,1024,0.271885
Baseline,/mnt/beegfs/test_dir_1MB_1024,256,512KB,0.281770468,3634.16,1.774493984,1024,0.275166
Baseline,/mnt/beegfs/test_dir_1MB_1024,512,512KB,0.297404766,3443.12,1.681210448,1024,0.290434
Baseline,/mnt/beegfs/test_dir_1MB_1024,1024,512KB,0.282690525,3622.34,1.768718636,1024,0.276065
Baseline,/mnt/beegfs/test_dir_1MB_1024,1,1MB,4.056600094,252.43,0.246511852,1024,3.961524
Baseline,/mnt/beegfs/test_dir_1MB_1024,2,1MB,2.029574871,504.54,0.492714023,1024,1.982007
Baseline,/mnt/beegfs/test_dir_1MB_1024,4,1MB,1.041074038,983.60,0.960546478,1024,1.016674
Baseline,/mnt/beegfs/test_dir_1MB_1024,8,1MB,0.545084953,1878.61,1.834576416,1024,0.532310
Baseline,/mnt/beegfs/test_dir_1MB_1024,16,1MB,0.304117203,3367.12,3.288205964,1024,0.296989
Baseline,/mnt/beegfs/test_dir_1MB_1024,32,1MB,0.333432198,3071.09,2.999110486,1024,0.325617
Baseline,/mnt/beegfs/test_dir_1MB_1024,64,1MB,0.356325626,2873.78,2.806421784,1024,0.347974
Baseline,/mnt/beegfs/test_dir_1MB_1024,128,1MB,0.378813744,2703.18,2.639819745,1024,0.369935
Baseline,/mnt/beegfs/test_dir_1MB_1024,256,1MB,0.372813940,2746.68,2.682303135,1024,0.364076
Baseline,/mnt/beegfs/test_dir_1MB_1024,512,1MB,0.375570059,2726.52,2.662619068,1024,0.366768
Baseline,/mnt/beegfs/test_dir_1MB_1024,1024,1MB,0.382792950,2675.08,2.612378313,1024,0.373821
Baseline,/mnt/beegfs/test_dir_512B_10428,1,512B,19.075709581,546.66,0.000260670,10428,1.829278
Baseline,/mnt/beegfs/test_dir_512B_10428,2,512B,7.209834814,1446.36,0.000689677,10428,0.691392
Baseline,/mnt/beegfs/test_dir_512B_10428,4,512B,3.145666361,3315.04,0.001580733,10428,0.301656
Baseline,/mnt/beegfs/test_dir_512B_10428,8,512B,1.439447880,7244.44,0.003454420,10428,0.138037
Baseline,/mnt/beegfs/test_dir_512B_10428,16,512B,1.721709728,6056.77,0.002888093,10428,0.165105
Baseline,/mnt/beegfs/test_dir_512B_10428,32,512B,2.078153849,5017.92,0.002392728,10428,0.199286
Baseline,/mnt/beegfs/test_dir_512B_10428,64,512B,2.172075987,4800.94,0.002289265,10428,0.208293
Baseline,/mnt/beegfs/test_dir_512B_10428,128,512B,1.824784040,5714.65,0.002724957,10428,0.174989
Baseline,/mnt/beegfs/test_dir_512B_10428,256,512B,2.374660015,4391.37,0.002093966,10428,0.227720
Baseline,/mnt/beegfs/test_dir_512B_10428,512,512B,1.900079966,5488.19,0.002616973,10428,0.182209
Baseline,/mnt/beegfs/test_dir_512B_10428,1024,512B,1.940919399,5372.71,0.002561908,10428,0.186126
Baseline,/mnt/beegfs/test_dir_1KB_10428,1,1KB,18.831624508,553.80,0.000528147,10429,1.805698
Baseline,/mnt/beegfs/test_dir_1KB_10428,2,1KB,8.365778208,1246.63,0.001188876,10429,0.802165
Baseline,/mnt/beegfs/test_dir_1KB_10428,4,1KB,3.880380392,2687.62,0.002563117,10429,0.372076
Baseline,/mnt/beegfs/test_dir_1KB_10428,8,1KB,1.577490330,6611.13,0.006304869,10429,0.151260
Baseline,/mnt/beegfs/test_dir_1KB_10428,16,1KB,1.882867098,5538.89,0.005282300,10429,0.180541
Baseline,/mnt/beegfs/test_dir_1KB_10428,32,1KB,3.392707825,3073.95,0.002931543,10429,0.325315
Baseline,/mnt/beegfs/test_dir_1KB_10428,64,1KB,1.896898270,5497.92,0.005243228,10429,0.181887
Baseline,/mnt/beegfs/test_dir_1KB_10428,128,1KB,1.769448757,5893.93,0.005620886,10429,0.169666
Baseline,/mnt/beegfs/test_dir_1KB_10428,256,1KB,2.129162550,4898.17,0.004671259,10429,0.204158
Baseline,/mnt/beegfs/test_dir_1KB_10428,512,1KB,2.353007317,4432.20,0.004226876,10429,0.225622
Baseline,/mnt/beegfs/test_dir_1KB_10428,1024,1KB,2.176647186,4791.31,0.004569353,10429,0.208711
Baseline,/mnt/beegfs/test_dir_2KB_10428,1,2KB,18.953498840,550.19,0.001049402,10428,1.817558
Baseline,/mnt/beegfs/test_dir_2KB_10428,2,2KB,8.120799780,1284.11,0.002449245,10428,0.778749
Baseline,/mnt/beegfs/test_dir_2KB_10428,4,2KB,3.634716034,2869.00,0.005472183,10428,0.348554
Baseline,/mnt/beegfs/test_dir_2KB_10428,8,2KB,1.775792122,5872.31,0.011200540,10428,0.170291
Baseline,/mnt/beegfs/test_dir_2KB_10428,16,2KB,2.359516621,4419.55,0.008429621,10428,0.226267
Baseline,/mnt/beegfs/test_dir_2KB_10428,32,2KB,2.470371723,4221.23,0.008051352,10428,0.236898
Baseline,/mnt/beegfs/test_dir_2KB_10428,64,2KB,2.462611198,4234.53,0.008076724,10428,0.236154
Baseline,/mnt/beegfs/test_dir_2KB_10428,128,2KB,2.332739830,4470.28,0.008526382,10428,0.223700
Baseline,/mnt/beegfs/test_dir_2KB_10428,256,2KB,1.898376226,5493.12,0.010477286,10428,0.182046
Baseline,/mnt/beegfs/test_dir_2KB_10428,512,2KB,1.818345070,5734.89,0.010938425,10428,0.174371
Baseline,/mnt/beegfs/test_dir_2KB_10428,1024,2KB,1.758225441,5930.98,0.011312447,10428,0.168606
Baseline,/mnt/beegfs/test_dir_4KB_10428,1,4KB,18.854676008,553.07,0.002109804,10428,1.808082
Baseline,/mnt/beegfs/test_dir_4KB_10428,2,4KB,8.032856226,1298.17,0.004952119,10428,0.770316
Baseline,/mnt/beegfs/test_dir_4KB_10428,4,4KB,4.246412754,2455.72,0.009367828,10428,0.407213
Baseline,/mnt/beegfs/test_dir_4KB_10428,8,4KB,1.550851107,6724.05,0.025650214,10428,0.148720
