batch_size,worker_num,prefetch_factor,AVG_data,AVG_train,data_per,MIN_data,MAX_data,Median_data,p99_data,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
16,1,5,0.1105806967791389,0.03244386467279172,0.7731587893475497,0.0009844303131103516,0.3544447422027588,0.11420130729675293,0.2730710506439209,0.016237974166870117,0.5148894786834717,0.023103713989257812,0.27253973484039307,0.0008846918741861979,0.0008027553558349609,0.00116729736328125,0.0008804798126220703,0.0010448694229125977
16,1,6,0.10606186062681909,0.03196993996115292,0.7683871410430709,0.0009708404541015625,0.33236098289489746,0.10979652404785156,0.2625739574432373,0.016185998916625977,0.5190157890319824,0.0224609375,0.2744755744934082,0.000883780273736692,0.0008034706115722656,0.0011832714080810547,0.0008802413940429688,0.001046895980834961
16,1,7,0.10749036658043955,0.032358683791815064,0.7686170645729684,0.0009291172027587891,0.32706546783447266,0.1103048324584961,0.2589372396469116,0.01632404327392578,0.5016970634460449,0.02326226234436035,0.2630089521408081,0.0008823123632692823,0.0007886886596679688,0.0012049674987792969,0.0008790493011474609,0.0010607242584228516
16,1,8,0.10744009298436782,0.0312963186525831,0.7744188545507423,0.0009551048278808594,0.3315699100494385,0.11000490188598633,0.26166653633117676,0.015726804733276367,0.4974379539489746,0.02227926254272461,0.2624354362487793,0.0008900165557861328,0.000797271728515625,0.0012044906616210938,0.0008809566497802734,0.0010690689086914062
16,2,5,0.041154908198936316,0.032991399952009615,0.5550499981085205,0.0009400844573974609,0.36014270782470703,0.03776121139526367,0.23383522033691406,0.01571059226989746,0.595928430557251,0.0226132869720459,0.311614990234375,0.0008698631735409007,0.0007910728454589844,0.0012538433074951172,0.0008728504180908203,0.0010889768600463867
16,2,6,0.039479606291827035,0.03214833315681009,0.5511760717357648,0.00096893310546875,0.37075138092041016,0.001373291015625,0.2522873878479004,0.016237258911132812,0.5777981281280518,0.02155017852783203,0.30265164375305176,0.0008633837980382583,0.0007987022399902344,0.0011637210845947266,0.0008409023284912109,0.001062631607055664
16,2,7,0.04083705883400113,0.031858327342014686,0.5617558552495094,0.0009889602661132812,0.4178652763366699,0.0013849735260009766,0.2753744125366211,0.016097068786621094,0.5738890171051025,0.021397829055786133,0.29935944080352783,0.000861499823775946,0.0007991790771484375,0.0011703968048095703,0.0008609294891357422,0.0010380744934082031
16,2,8,0.03739197113934685,0.03294844720877853,0.5315858508871575,0.0009465217590332031,0.356034517288208,0.016745328903198242,0.22922611236572266,0.01575922966003418,0.5951476097106934,0.022065162658691406,0.31201326847076416,0.0008617943408442478,0.0007951259613037109,0.0011882781982421875,0.000865936279296875,0.001052260398864746
16,4,5,0.010168828216253542,0.03352692547966452,0.23271891101865777,0.0009179115295410156,0.4528203010559082,0.0012884140014648438,0.22870469093322754,0.015839576721191406,0.6896891593933105,0.02080845832824707,0.356705904006958,0.0008986837723675896,0.0007908344268798828,0.0041048526763916016,0.0008332729339599609,0.002632617950439453
16,4,6,0.008920749028523764,0.03407053386463838,0.20750134511437499,0.0009305477142333984,0.39226746559143066,0.0012705326080322266,0.19691240787506104,0.015980243682861328,0.6945536136627197,0.0209352970123291,0.3612399101257324,0.0008384994432037952,0.0007922649383544922,0.0011675357818603516,0.0008327960968017578,0.0010489225387573242
