batch_size,worker_num,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train
512,0,3.46849045753479,3.0751118659973145,4.552744626998901,3.3273632526397705,4.454299266338348,0.15724987506866456,0.13341307640075684,0.6486454010009766,0.14290881156921387,0.5494501399993892
512,2,2.114381642341614,0.024047374725341797,8.398443222045898,2.7769594192504883,6.243254408836356,0.16739944934844972,0.137434720993042,1.0468955039978027,0.14330434799194336,0.7445899868011463
512,4,1.634867262840271,0.023773908615112305,13.741952657699585,0.31285178661346436,8.908932344913463,0.16604138851165773,0.1417388916015625,0.9344990253448486,0.14399194717407227,0.6875552892684926
512,8,1.3287017107009889,0.023758649826049805,22.341569900512695,0.31322968006134033,13.16988428115841,0.16604770183563233,0.1419353485107422,0.946671724319458,0.14363694190979004,0.6940618538856496
512,16,1.6086315631866455,0.0238494873046875,39.144065380096436,0.31292104721069336,21.58143467426293,0.18377774715423584,0.1328415870666504,1.8297688961029053,0.14409029483795166,1.1448714447021455
256,0,1.6169216012954712,1.4134681224822998,2.091730833053589,1.6054234504699707,2.0573484110832214,0.0857209825515747,0.07243132591247559,0.534482479095459,0.0804753303527832,0.22833170890808263
256,2,0.8767894172668457,0.01250004768371582,5.869576930999756,0.8049287796020508,1.7420085620880341,0.09071677923202515,0.08008718490600586,0.7809336185455322,0.08248519897460938,0.22751321792602824
256,4,0.554982807636261,0.01220393180847168,10.501901388168335,0.1625136137008667,1.8554429936409442,0.09248365879058838,0.07288646697998047,0.9715766906738281,0.08240604400634766,0.22958676099777606
256,8,0.4943623232841492,0.01214146614074707,20.677247285842896,0.15217185020446777,1.7786182594300293,0.0877088212966919,0.0716547966003418,0.5396280288696289,0.08173120021820068,0.22501046895980997
256,0,1.6568057894706727,1.5204124450683594,1.9935352802276611,1.6298997402191162,1.9703117513656614,0.1088454008102417,0.07988834381103516,0.5048491954803467,0.0804147720336914,0.4510061740875241
256,2,1.0814926147460937,0.012200355529785156,6.606264591217041,0.7582216262817383,5.6638714241981445,0.12597484588623048,0.08062911033630371,0.7887542247772217,0.08372962474822998,0.6828867316246026
256,4,0.9334623575210571,0.012059688568115234,10.722723245620728,0.15393030643463135,8.999225299358356,0.14084655046463013,0.08060359954833984,1.1168978214263916,0.08173894882202148,0.9468896365165699
8,4,0.004599859237670898,0.0005636215209960938,8.978328943252563,0.0010790824890136719,0.010579998493194574,0.02818454933166504,0.018703222274780273,0.45915818214416504,0.028105616569519043,0.032019422054290765
16,4,0.013102936450346016,0.0009675025939941406,9.217640399932861,0.00501859188079834,0.020902261734008776,0.026898860489880598,0.019826173782348633,0.620863676071167,0.026923298835754395,0.03324681997299194
8,8,0.016039538603562574,0.0006535053253173828,17.625200271606445,0.004033088684082031,0.015457992553710937,0.025854290888859675,0.01732635498046875,0.5079355239868164,0.026351451873779297,0.03287439346313476
16,8,0.031140451078061706,0.0009379386901855469,18.081268548965454,0.004444718360900879,0.026209082603454587,0.025349557546921718,0.010210752487182617,0.5378830432891846,0.027411341667175293,0.03646668195724487
32,8,0.060904560560061605,0.0017113685607910156,17.92031216621399,0.014267444610595703,0.20478977203368795,0.027704703366314924,0.016312360763549805,0.6349315643310547,0.025821924209594727,0.035583801269531215
64,8,0.13649194478988647,0.003182649612426758,18.60535955429077,0.03483271598815918,0.4901506900787352,0.03607852578163147,0.029476165771484375,0.48772692680358887,0.033489227294921875,0.039520068168639864
128,8,0.30066717863082887,0.0061457157135009766,19.13418459892273,0.08223950862884521,1.1533004879952407,0.05211983680725098,0.039114952087402344,0.6920948028564453,0.04146909713745117,0.12906969070434862
256,8,0.6970164680480957,0.012244224548339844,20.66270613670349,0.1523420810699463,11.429215481281243,0.10126908302307129,0.07974720001220703,0.8996639251708984,0.08176624774932861,0.5683375334739671
512,8,1.6465189933776856,0.023859500885009766,21.643882989883423,0.3114159107208252,17.31987761497494,0.21369153022766113,0.1409611701965332,1.595933437347412,0.14270853996276855,1.3160766410827613
512,8,1.3169224596023559,0.023834943771362305,22.88502264022827,0.31863439083099365,13.434031796455345,0.1678087282180786,0.13219714164733887,1.327322006225586,0.13935422897338867,0.887343945503233
8,8,0.00747515685741718,0.0006647109985351562,17.6922345161438,0.0011676549911499023,0.008823060989379851,0.028194319284879244,0.01809549331665039,0.5853562355041504,0.02797400951385498,0.03291158437728879
16,8,0.021907598000985604,0.0009477138519287109,17.991091012954712,0.004404664039611816,0.0229613947868347,0.022701820620784054,0.010291576385498047,0.5351364612579346,0.026903986930847168,0.03693930387496947
32,8,0.03904795293454771,0.0017271041870117188,18.08992052078247,0.013956785202026367,0.21631639242172232,0.02690725326538086,0.015367269515991211,0.6092889308929443,0.025922417640686035,0.03189614534378051
64,8,0.0928410804271698,0.0032324790954589844,18.110231399536133,0.03511083126068115,0.4434340286254879,0.032218288779258725,0.0225985050201416,0.6588971614837646,0.03297567367553711,0.03891176939010618
128,8,0.2081052029132843,0.006139516830444336,19.01054310798645,0.07424807548522949,0.9403315210342399,0.05395950198173523,0.04810380935668945,0.8135766983032227,0.04950845241546631,0.0563164949417108
256,8,0.4973831605911255,0.012163639068603516,19.15592312812805,0.15167677402496338,2.177173073291866,0.10144772291183472,0.07989263534545898,1.8306779861450195,0.08190596103668213,0.2392666006088339
