batch_size,worker_num,prefetch_factor,data_per,AVG_data,AVG_train
32,4,4,0.435208561,0.026311842,0.034146164
32,4,5,0.415028622,0.025394533,0.035792893
32,4,6,0.437846755,0.026876136,0.034506382
32,4,7,0.392864038,0.023658421,0.036561957
32,4,8,0.404842075,0.02396894,0.035236714
32,4,9,0.480699628,0.031120118,0.0336191
32,4,10,0.443740162,0.027637832,0.034645987
32,4,11,0.471937757,0.029243796,0.032721571
32,4,12,0.4586889,0.028715872,0.033888373
32,4,13,0.442329754,0.026783237,0.033767149
32,4,14,0.401807346,0.02536776,0.037766377
32,4,15,0.444543083,0.027478321,0.034334183
32,4,16,0.448558744,0.027205318,0.033445195
32,8,1,0.299051317,0.013794838,0.032333827
32,8,2,0.30581742,0.015273183,0.034668979
32,8,3,0.299137994,0.015653414,0.03667499
32,8,4,0.235291935,0.013398975,0.043547196
32,8,5,0.214609139,0.013005448,0.047595178
32,8,6,0.223994959,0.013814272,0.047857972
32,8,7,0.21282299,0.014138918,0.05229619
32,8,8,0.244723556,0.015771398,0.048674373
32,8,9,0.239694378,0.015201008,0.048217283
32,8,10,0.235910095,0.01517243,0.049142029
32,8,11,0.26930385,0.017550272,0.047618763
32,8,12,0.229472765,0.015096192,0.05069023
32,8,13,0.241600223,0.016326844,0.051251089
32,8,14,0.221811397,0.013968056,0.049004616
32,8,15,0.253028515,0.016582157,0.048952579
32,8,16,0.216737078,0.014665576,0.052999707
32,16,1,0.398452625,0.021174683,0.031967603
32,16,2,0.287940383,0.016624399,0.041111161
32,16,3,0.268494185,0.017446789,0.047533348
32,16,4,0.284451808,0.01977102,0.049734672
32,16,5,0.223153222,0.015769341,0.05489664
32,16,6,0.273261544,0.020365785,0.054162759
32,16,7,0.277629116,0.021833803,0.056809977
32,16,8,0.239760518,0.01908946,0.060529405
32,16,9,0.271147892,0.021898812,0.058864537
32,16,10,0.223880948,0.015879617,0.055049228
32,16,11,0.19358274,0.015157779,0.063143515
32,16,12,0.205962705,0.016446118,0.063403864
32,16,13,0.223698175,0.018321084,0.063579826
32,16,14,0.272792005,0.02316431,0.061751338
32,16,15,0.255414122,0.021737992,0.063370817
32,16,16,0.234044548,0.018190534,0.059531993
32,32,1,0.358644855,0.022317218,0.039909293
32,32,2,0.262884966,0.01918609,0.053796745
32,32,3,0.342491128,0.026022906,0.049958351
32,32,4,0.243439935,0.020923409,0.065025549
32,32,5,0.248931225,0.022288505,0.067248293
32,32,6,0.246338487,0.022185349,0.067875077
32,32,7,0.26357784,0.02271807,0.063473052
32,32,8,0.341737741,0.033003728,0.063572458
32,32,9,0.229988041,0.021482192,0.071923499
32,32,10,0.236079323,0.020185106,0.065316266
32,32,11,0.32257952,0.029107248,0.061125536
32,32,12,0.282252317,0.025029884,0.063649224
32,32,13,0.257759533,0.02023113,0.058257257
32,32,14,0.269751263,0.023210834,0.062834487
32,32,15,0.24471186,0.020605896,0.063598834
32,32,16,0.2498666,0.021485852,0.064503441
64,1,1,0.927095272,0.493070962,0.038774014
64,1,2,0.923626127,0.469890594,0.038854861
64,1,3,0.922487216,0.463292935,0.038928588
64,1,4,0.924837598,0.46547195,0.037829334
64,1,5,0.919775467,0.463609705,0.040436904
64,1,6,0.922331478,0.463652293,0.039043651
64,1,7,0.921153313,0.455027534,0.038948363
64,1,8,0.923604259,0.458901144,0.037957916
64,1,9,0.924022608,0.477219647,0.039239196
64,1,10,0.924352004,0.464124881,0.037983492
64,1,11,0.923747503,0.470997665,0.038879399
64,1,12,0.924973133,0.474670088,0.038501669
64,1,13,0.925322128,0.478287477,0.038600061
64,1,14,0.923102183,0.465211139,0.038753804
64,1,15,0.925004299,0.481974017,0.039076553
64,1,16,0.923143247,0.467407339,0.038914232
64,2,1,0.856032857,0.225336771,0.037897016
64,2,2,0.836184241,0.201201785,0.039417178
64,2,3,0.842299088,0.208356647,0.039009936
64,2,4,0.844836441,0.211623346,0.038866969
64,2,5,0.838339634,0.200782781,0.038717742
64,2,6,0.846387605,0.210067599,0.038125543
64,2,7,0.842087835,0.208160167,0.039035147
64,2,8,0.844994704,0.214804603,0.039403621
64,2,9,0.838605286,0.203081715,0.039084318
64,2,10,0.841346852,0.205148772,0.038684995
64,2,11,0.84341619,0.211140469,0.039199128
64,2,12,0.84669963,0.214538383,0.038843543
64,2,13,0.842408794,0.209420957,0.039176824
64,2,14,0.850565063,0.21507402,0.037786142
64,2,15,0.84763812,0.213289934,0.038338596
64,2,16,0.84299874,0.208946509,0.038914489
64,4,1,0.691813653,0.089579316,0.039905431
64,4,2,0.633800985,0.072232298,0.041734546
64,4,3,0.641552205,0.07261883,0.040573564
64,4,4,0.62588995,0.068064778,0.040684017
64,4,5,0.637087227,0.073053837,0.041614663
64,4,6,0.624170683,0.06862977,0.04132376
64,4,7,0.627239309,0.070007338,0.04160451
64,4,8,0.618517893,0.066942126,0.041287768
64,4,9,0.634998759,0.072060842,0.041421021
64,4,10,0.64684045,0.077486595,0.042305844
64,4,11,0.632116462,0.071534727,0.041632278
64,4,12,0.622914589,0.06916444,0.041869145
64,4,13,0.630991302,0.070147145,0.041022605
64,4,14,0.625580742,0.070092304,0.041951273
64,4,15,0.633845154,0.07164224,0.041385744
64,4,16,0.628402174,0.071667447,0.042379655
64,8,1,0.407499021,0.027387815,0.039821709
64,8,2,0.290981934,0.020803236,0.050689987
64,8,3,0.265440065,0.020010696,0.055376174
64,8,4,0.293774533,0.022923072,0.055106401
64,8,5,0.285405581,0.022419079,0.056132569
64,8,6,0.323286499,0.025774208,0.053951385
64,8,7,0.283702148,0.021708072,0.054809051
64,8,8,0.310043049,0.025026378,0.055692663
64,8,9,0.328822008,0.026737405,0.054575294
64,8,10,0.321932686,0.024711183,0.052047669
64,8,11,0.346640121,0.026279244,0.049532072
64,8,12,0.343588218,0.027324415,0.05220222
64,8,13,0.261689198,0.020622216,0.058182015
64,8,14,0.318534886,0.024764225,0.052979927
64,8,15,0.30545008,0.02415946,0.054935165
64,8,16,0.266661297,0.021001297,0.057755152
64,16,1,0.320893921,0.02322535,0.049151682
64,16,2,0.401778774,0.034511258,0.051384912
64,16,3,0.238450905,0.020716237,0.066162179
64,16,4,0.311489167,0.028728326,0.063500647
64,16,5,0.292600726,0.027860179,0.067355507
64,16,6,0.239200729,0.022405264,0.071261944
64,16,7,0.292184817,0.030497845,0.073880766
64,16,8,0.320969114,0.033209871,0.070257626
64,16,9,0.305639593,0.030241045,0.068702436
64,16,10,0.288161791,0.026225169,0.064783321
64,16,11,0.25870662,0.026113837,0.074826128
64,16,12,0.235396108,0.02132104,0.069254118
64,16,13,0.338646015,0.037423012,0.073084747
64,16,14,0.241887232,0.023755055,0.074452092
64,16,15,0.267924093,0.023123003,0.063181302
64,16,16,0.327204251,0.033946093,0.069799788
64,32,1,0.335115501,0.030167103,0.059852913
64,32,2,0.280389666,0.027975461,0.071798049
64,32,3,0.313936767,0.031149359,0.068072403
64,32,4,0.446250492,0.059114788,0.073355179
64,32,5,0.310823902,0.032609051,0.072302608
64,32,6,0.342524326,0.040693059,0.078110354
64,32,7,0.420800093,0.05858383,0.080636268
64,32,8,0.312703714,0.03223911,0.070858834
64,32,9,0.311728775,0.034457702,0.076079743
64,32,10,0.293418011,0.028046571,0.067539145
64,32,11,0.316060539,0.031370944,0.067885179
64,32,12,0.327389403,0.034058926,0.069972926
64,32,13,0.27711461,0.029835528,0.077829412
64,32,14,0.344275274,0.035033511,0.066726661
64,32,15,0.442744327,0.06449066,0.081170517
64,32,16,0.40076282,0.053134455,0.07944884
128,1,1,0.949460072,1.020793424,0.054337015
128,1,2,0.948079153,0.948333474,0.051934775
128,1,3,0.949498736,1.020845712,0.054296017
128,1,4,0.947583774,0.976094643,0.053993323
128,1,5,0.947224162,0.975609508,0.054357365
128,1,6,0.947509261,0.967911613,0.053621002
128,1,7,0.947806156,0.977550647,0.053831816
128,1,8,0.947897747,0.981370566,0.053942124
128,1,9,0.94877092,0.989141338,0.053408889
128,1,10,0.947001496,0.972579601,0.054429971
128,1,11,0.948606727,0.986598898,0.053451599
